Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
14,18,840,1080,1.0,0.0,0.0,60.802
15,19,849,1080,1.0,0.0,1.0,
16,20,855,1080,1.0,0.0,1.0,
17,11,852,1080,1.0,0.0,1.0,
NC,16,848,1080,0.0,1.0,,
NC,15,854,1080,0.0,1.0,,
NC,13,825,1080,0.0,1.0,,
1,3,830,1081,1.0,0.0,0.0,0.0
2,2,815,1081,1.0,0.0,0.0,20.823
3,5,847,1081,1.0,0.0,0.0,45.995
4,7,1,1081,1.0,0.0,0.0,71.679
5,6,842,1081,1.0,0.0,0.0,77.299
6,9,20,1081,1.0,0.0,0.0,84.099
7,10,4,1081,1.0,0.0,0.0,88.596
8,12,817,1081,1.0,0.0,0.0,92.207
9,11,846,1081,1.0,0.0,0.0,92.556
10,13,839,1081,1.0,0.0,0.0,108.184
11,15,822,1081,1.0,0.0,1.0,
12,17,848,1081,1.0,0.0,1.0,
13,8,852,1081,1.0,0.0,1.0,
14,20,854,1081,1.0,0.0,1.0,
15,18,849,1081,1.0,0.0,1.0,
16,19,840,1081,0.0,1.0,,
NC,16,825,1081,0.0,1.0,,
NC,14,855,1081,0.0,1.0,,
NC,1,844,1081,0.0,1.0,,
NC,4,832,1081,0.0,1.0,,
1,1,830,1082,1.0,0.0,0.0,0.0
2,3,832,1082,1.0,0.0,0.0,0.993
3,4,1,1082,1.0,0.0,0.0,7.006
4,8,847,1082,1.0,0.0,0.0,12.313
5,19,844,1082,1.0,0.0,0.0,15.168
6,7,839,1082,1.0,0.0,0.0,23.89
7,11,822,1082,1.0,0.0,0.0,25.247
8,10,855,1082,1.0,0.0,0.0,26.952
9,2,4,1082,1.0,0.0,0.0,29.945
10,17,840,1082,1.0,0.0,0.0,38.222
11,9,817,1082,1.0,0.0,0.0,43.047
12,16,20,1082,1.0,0.0,0.0,44.245
13,12,848,1082,1.0,0.0,0.0,44.893
14,15,842,1082,1.0,0.0,0.0,45.183
15,14,846,1082,1.0,0.0,0.0,52.145
16,18,849,1082,1.0,0.0,0.0,59.978
17,5,825,1082,1.0,0.0,0.0,68.18
NC,20,852,1082,0.0,1.0,,
NC,6,854,1082,0.0,1.0,,
NC,13,815,1082,0.0,1.0,,
1,1,832,1083,1.0,0.0,0.0,0.0
2,4,815,1083,1.0,0.0,0.0,3.779
3,5,1,1083,1.0,0.0,0.0,6.225
4,3,844,1083,1.0,0.0,0.0,8.546
5,7,4,1083,1.0,0.0,0.0,9.571
6,6,846,1083,1.0,0.0,0.0,11.943
7,2,830,1083,1.0,0.0,0.0,18.777
8,19,854,1083,1.0,0.0,0.0,18.995
9,18,20,1083,1.0,0.0,0.0,22.356
10,17,825,1083,1.0,0.0,0.0,24.59
11,20,840,1083,1.0,0.0,0.0,26.147
12,10,849,1083,1.0,0.0,0.0,32.511
13,14,817,1083,1.0,0.0,0.0,32.817
14,13,852,1083,1.0,0.0,0.0,40.91
NC,15,839,1083,0.0,1.0,,
NC,11,842,1083,0.0,1.0,,
NC,12,822,1083,0.0,1.0,,
NC,8,847,1083,0.0,1.0,,
NC,9,855,1083,0.0,1.0,,
NC,16,848,1083,0.0,1.0,,
1,2,844,1084,1.0,0.0,0.0,0.0
2,1,830,1084,1.0,0.0,0.0,1.532
3,8,1,1084,1.0,0.0,0.0,41.217
4,4,847,1084,1.0,0.0,0.0,58.972
5,6,839,1084,1.0,0.0,0.0,68.436
6,9,854,1084,1.0,0.0,1.0,
7,10,846,1084,1.0,0.0,1.0,
8,7,825,1084,1.0,0.0,1.0,
9,11,817,1084,1.0,0.0,1.0,
10,19,4,1084,1.0,0.0,1.0,
11,20,822,1084,1.0,0.0,1.0,
12,15,848,1084,1.0,0.0,1.0,
13,12,840,1084,1.0,0.0,1.0,
14,13,855,1084,1.0,0.0,1.0,
15,14,842,1084,1.0,0.0,1.0,
16,16,852,1084,1.0,0.0,1.0,
17,18,20,1084,1.0,0.0,1.0,
NC,3,832,1084,0.0,1.0,,
NC,17,849,1084,0.0,1.0,,
NC,5,815,1084,0.0,1.0,,
1,2,830,1085,1.0,0.0,0.0,0.0
2,4,1,1085,1.0,0.0,0.0,10.587
3,6,847,1085,1.0,0.0,0.0,16.495
4,3,815,1085,1.0,0.0,0.0,17.31
5,19,832,1085,1.0,0.0,0.0,28.872
6,7,4,1085,1.0,0.0,0.0,42.879
7,5,846,1085,1.0,0.0,0.0,52.026
8,10,839,1085,1.0,0.0,0.0,56.959
9,9,817,1085,1.0,0.0,0.0,60.372
10,15,840,1085,1.0,0.0,0.0,62.549
11,12,20,1085,1.0,0.0,0.0,65.448
12,14,842,1085,1.0,0.0,0.0,65.448
13,13,848,1085,1.0,0.0,0.0,68.565
14,11,822,1085,1.0,0.0,0.0,76.666
15,17,854,1085,1.0,0.0,0.0,80.394
16,16,855,1085,1.0,0.0,6.0,
NC,18,849,1085,0.0,1.0,,
NC,20,825,1085,0.0,1.0,,
NC,1,844,1085,0.0,1.0,,
NC,8,852,1085,0.0,1.0,,
1,10,830,1086,1.0,0.0,0.0,0.0
2,7,1,1086,1.0,0.0,0.0,7.834
3,1,847,1086,1.0,0.0,0.0,12.337
4,2,832,1086,1.0,0.0,0.0,14.579
5,11,815,1086,1.0,0.0,0.0,15.688
6,3,844,1086,1.0,0.0,0.0,16.047
7,4,846,1086,1.0,0.0,0.0,78.3
8,6,4,1086,1.0,0.0,1.0,
9,5,839,1086,1.0,0.0,1.0,
10,18,20,1086,1.0,0.0,1.0,
11,14,840,1086,1.0,0.0,1.0,
12,20,842,1086,1.0,0.0,1.0,
13,12,855,1086,1.0,0.0,1.0,
14,15,854,1086,1.0,0.0,1.0,
15,9,817,1086,1.0,0.0,1.0,
16,13,825,1086,1.0,0.0,1.0,
17,17,848,1086,1.0,0.0,1.0,
18,19,849,1086,1.0,0.0,1.0,
19,16,852,1086,1.0,0.0,2.0,
20,8,822,1086,0.0,1.0,,
1,14,830,1087,1.0,0.0,0.0,0.0
2,2,815,1087,1.0,0.0,0.0,17.841
3,1,832,1087,1.0,0.0,0.0,26.886
4,5,847,1087,1.0,0.0,0.0,29.14
5,3,4,1087,1.0,0.0,0.0,73.256
6,15,844,1087,1.0,0.0,0.0,74.936
7,16,839,1087,1.0,0.0,0.0,75.64
8,10,20,1087,1.0,0.0,0.0,78.107
9,8,842,1087,1.0,0.0,0.0,92.181
10,6,848,1087,1.0,0.0,0.0,101.9
11,9,840,1087,1.0,0.0,0.0,103.078
12,17,846,1087,1.0,0.0,0.0,104.739
13,20,852,1087,1.0,0.0,0.0,105.217
14,18,855,1087,1.0,0.0,0.0,106.252
15,7,817,1087,1.0,0.0,0.0,107.163
16,12,825,1087,1.0,0.0,1.0,
17,19,854,1087,1.0,0.0,1.0,
18,11,849,1087,1.0,0.0,1.0,
NC,13,822,1087,0.0,1.0,,
NC,4,1,1087,0.0,1.0,,
1,1,830,1088,1.0,0.0,0.0,0.0
2,6,847,1088,1.0,0.0,0.0,4.071
3,2,844,1088,1.0,0.0,0.0,10.929
4,4,1,1088,1.0,0.0,0.0,13.016
5,5,815,1088,1.0,0.0,0.0,18.168
6,13,4,1088,1.0,0.0,0.0,18.754
7,7,846,1088,1.0,0.0,0.0,19.306
8,3,832,1088,1.0,0.0,0.0,20.916
9,12,839,1088,1.0,0.0,0.0,21.117
10,10,840,1088,1.0,0.0,0.0,22.459
11,11,842,1088,1.0,0.0,0.0,27.009
12,15,848,1088,1.0,0.0,0.0,30.39
13,8,854,1088,1.0,0.0,0.0,32.995
14,19,20,1088,1.0,0.0,0.0,36.007
15,18,825,1088,1.0,0.0,0.0,36.869
16,14,855,1088,1.0,0.0,0.0,37.32
17,17,817,1088,1.0,0.0,0.0,37.764
18,20,849,1088,1.0,0.0,1.0,
NC,16,822,1088,0.0,1.0,,
NC,9,852,1088,0.0,1.0,,
1,7,830,1089,1.0,0.0,0.0,0.0
2,1,844,1089,1.0,0.0,0.0,2.446
3,2,847,1089,1.0,0.0,0.0,3.405
4,18,832,1089,1.0,0.0,0.0,5.061
5,19,1,1089,1.0,0.0,0.0,5.38
6,13,815,1089,1.0,0.0,0.0,6.091
7,3,846,1089,1.0,0.0,0.0,6.207
8,5,842,1089,1.0,0.0,0.0,6.396
9,8,856,1089,1.0,0.0,0.0,7.122
10,9,855,1089,1.0,0.0,0.0,7.91
11,14,839,1089,1.0,0.0,0.0,8.323
12,17,854,1089,1.0,0.0,0.0,8.549
13,15,822,1089,1.0,0.0,1.0,
14,20,852,1089,1.0,0.0,1.0,
15,10,849,1089,1.0,0.0,1.0,
16,16,825,1089,1.0,0.0,1.0,
NC,4,817,1089,0.0,1.0,,
NC,12,840,1089,0.0,1.0,,
NC,6,4,1089,0.0,1.0,,
NC,11,20,1089,0.0,1.0,,
1,2,815,1091,1.0,0.0,0.0,0.0
2,1,844,1091,1.0,0.0,0.0,2.595
3,4,832,1091,1.0,0.0,0.0,10.305
4,6,846,1091,1.0,0.0,0.0,21.133
5,16,817,1091,1.0,0.0,0.0,53.282
6,11,840,1091,1.0,0.0,0.0,56.33
7,8,830,1091,1.0,0.0,0.0,58.825
8,13,20,1091,1.0,0.0,0.0,60.032
9,3,1,1091,1.0,0.0,0.0,61.515
10,7,842,1091,1.0,0.0,0.0,69.576
11,15,822,1091,1.0,0.0,0.0,88.844
12,9,825,1091,1.0,0.0,0.0,92.61
13,12,854,1091,1.0,0.0,1.0,
14,20,847,1091,1.0,0.0,2.0,
NC,10,852,1091,0.0,1.0,,
NC,17,839,1091,0.0,1.0,,
NC,18,848,1091,0.0,1.0,,
NC,5,4,1091,0.0,1.0,,
NC,19,849,1091,0.0,1.0,,
NC,14,855,1091,0.0,1.0,,
1,1,830,1092,1.0,0.0,0.0,0.0
2,4,815,1092,1.0,0.0,0.0,27.066
3,2,844,1092,1.0,0.0,0.0,31.763
