kaggle_driver_id,Driver,Team
1,Lewis Hamilton,Mercedes
822,Valtteri Bottas,Mercedes
830,Max Verstappen,Red Bull Racing
844,Charles Leclerc,Ferrari
20,Sebastian Vettel,Ferrari
832,Carlos Sainz,McLaren
842,Pierre Gasly,Toro Rosso
848,Alexander Albon,Red Bull Racing
817,Daniel Ricciardo,Renault
815,Sergio Perez,Racing Point
846,Lando Norris,McLaren
8,Kimi Raikkönen,Alfa Romeo
826,Daniil Kvyat,Toro Rosso
807,Nico Hulkenberg,Renault
840,Lance Stroll,Racing Point
825,Kevin Magnussen,Haas
841,Antonio Giovinazzi,Alfa Romeo
154,Romain Grosjean,Haas
9,Robert Kubica,Williams
847,George Russell,Williams
