Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team
1,1.0,830,1121,1.0,0.0,0.0,0.0,2024,Red Bull Racing
2,5.0,815,1121,1.0,0.0,0.0,22.457,2024,Red Bull Racing
3,4.0,832,1121,1.0,0.0,0.0,25.11,2024,Ferrari
4,2.0,844,1121,1.0,0.0,0.0,39.669,2024,Ferrari
5,3.0,847,1121,1.0,0.0,0.0,46.788,2024,Mercedes
6,7.0,846,1121,1.0,0.0,0.0,48.458,2024,McLaren
7,9.0,1,1121,1.0,0.0,0.0,50.324,2024,Mercedes
8,8.0,857,1121,1.0,0.0,0.0,56.082,2024,McLaren
9,6.0,4,1121,1.0,0.0,0.0,74.887,2024,Aston Martin
10,12.0,840,1121,1.0,0.0,0.0,93.216,2024,Aston Martin
11,17.0,855,1121,1.0,0.0,1.0,,2024,Kick Sauber
12,15.0,825,1121,1.0,0.0,1.0,,2024,Haas
13,14.0,817,1121,1.0,0.0,1.0,,2024,RB
14,11.0,852,1121,1.0,0.0,1.0,,2024,RB
15,13.0,848,1121,1.0,0.0,1.0,,2024,Williams
16,10.0,807,1121,1.0,0.0,1.0,,2024,Haas
17,19.0,839,1121,1.0,0.0,1.0,,2024,Alpine
18,20.0,842,1121,1.0,0.0,1.0,,2024,Alpine
19,16.0,822,1121,1.0,0.0,1.0,,2024,Kick Sauber
20,18.0,858,1121,1.0,0.0,2.0,,2024,Williams
1,1.0,830,1122,1.0,0.0,0.0,0.0,2024,Red Bull Racing
2,3.0,815,1122,1.0,0.0,0.0,13.643,2024,Red Bull Racing
3,2.0,844,1122,1.0,0.0,0.0,18.639,2024,Ferrari
4,5.0,857,1122,1.0,0.0,0.0,32.007,2024,McLaren
5,4.0,4,1122,1.0,0.0,0.0,35.759,2024,Aston Martin
6,7.0,847,1122,1.0,0.0,0.0,39.936,2024,Mercedes
7,11.0,860,1122,1.0,0.0,0.0,42.679,2024,Haas
8,6.0,846,1122,1.0,0.0,0.0,45.708,2024,McLaren
9,8.0,1,1122,1.0,0.0,0.0,47.391,2024,Mercedes
10,15.0,807,1122,1.0,0.0,0.0,76.996,2024,Haas
11,12.0,848,1122,1.0,0.0,0.0,88.354,2024,Williams
12,13.0,825,1122,1.0,0.0,0.0,105.737,2024,Haas
13,17.0,839,1122,1.0,0.0,1.0,,2024,Alpine
14,19.0,858,1122,1.0,0.0,1.0,,2024,Williams
15,9.0,852,1122,1.0,0.0,1.0,,2024,RB
16,14.0,817,1122,1.0,0.0,1.0,,2024,RB
17,16.0,822,1122,1.0,0.0,1.0,,2024,Kick Sauber
18,20.0,855,1122,1.0,0.0,1.0,,2024,Kick Sauber
NC,10.0,840,1122,0.0,1.0,,,2024,Aston Martin
NC,18.0,842,1122,0.0,1.0,,,2024,Alpine
1,2.0,832,1123,1.0,0.0,0.0,0.0,2024,Ferrari
2,4.0,844,1123,1.0,0.0,0.0,2.366,2024,Ferrari
3,3.0,846,1123,1.0,0.0,0.0,5.904,2024,McLaren
4,5.0,857,1123,1.0,0.0,0.0,35.77,2024,McLaren
5,6.0,815,1123,1.0,0.0,0.0,56.309,2024,Red Bull Racing
6,9.0,840,1123,1.0,0.0,0.0,93.222,2024,Aston Martin
7,8.0,852,1123,1.0,0.0,0.0,95.601,2024,RB
8,10.0,4,1123,1.0,0.0,0.0,100.992,2024,Aston Martin
9,16.0,807,1123,1.0,0.0,0.0,104.553,2024,Haas
10,14.0,825,1123,1.0,0.0,1.0,,2024,Haas
11,12.0,848,1123,1.0,0.0,1.0,,2024,Williams
12,18.0,817,1123,1.0,0.0,1.0,,2024,RB
13,17.0,842,1123,1.0,0.0,1.0,,2024,Alpine
14,13.0,822,1123,1.0,0.0,1.0,,2024,Kick Sauber
15,19.0,855,1123,1.0,0.0,1.0,,2024,Kick Sauber
16,15.0,839,1123,1.0,0.0,1.0,,2024,Alpine
17,7.0,847,1123,0.0,1.0,,,2024,Mercedes
NC,11.0,1,1123,0.0,1.0,,,2024,Mercedes
NC,1.0,830,1123,0.0,1.0,,,2024,Red Bull Racing
NC,,858,1123,0.0,1.0,,,2024,Williams
1,1.0,830,1124,1.0,0.0,0.0,0.0,2024,Red Bull Racing
2,2.0,815,1124,1.0,0.0,0.0,12.535,2024,Red Bull Racing
3,4.0,832,1124,1.0,0.0,0.0,20.866,2024,Ferrari
4,8.0,844,1124,1.0,0.0,0.0,26.522,2024,Ferrari
5,3.0,846,1124,1.0,0.0,0.0,29.7,2024,McLaren
6,5.0,4,1124,1.0,0.0,0.0,44.272,2024,Aston Martin
7,9.0,847,1124,1.0,0.0,0.0,45.951,2024,Mercedes
8,6.0,857,1124,1.0,0.0,0.0,47.525,2024,McLaren
9,7.0,1,1124,1.0,0.0,0.0,48.626,2024,Mercedes
10,10.0,852,1124,1.0,0.0,1.0,,2024,RB
11,12.0,807,1124,1.0,0.0,1.0,,2024,Haas
12,16.0,840,1124,1.0,0.0,1.0,,2024,Aston Martin
13,18.0,825,1124,1.0,0.0,1.0,,2024,Haas
14,13.0,822,1124,1.0,0.0,1.0,,2024,Kick Sauber
15,15.0,839,1124,1.0,0.0,1.0,,2024,Alpine
16,17.0,842,1124,1.0,0.0,1.0,,2024,Alpine
17,19.0,858,1124,1.0,0.0,1.0,,2024,Williams
NC,20.0,855,1124,0.0,1.0,,,2024,Kick Sauber
NC,11.0,817,1124,0.0,1.0,,,2024,RB
NC,14.0,848,1124,0.0,1.0,,,2024,Williams
1,1.0,830,1125,1.0,0.0,0.0,0.0,2024,Red Bull Racing
2,4.0,846,1125,1.0,0.0,0.0,13.773,2024,McLaren
3,2.0,815,1125,1.0,0.0,0.0,19.16,2024,Red Bull Racing
4,6.0,844,1125,1.0,0.0,0.0,23.623,2024,Ferrari
5,7.0,832,1125,1.0,0.0,0.0,33.983,2024,Ferrari
6,8.0,847,1125,1.0,0.0,0.0,38.724,2024,Mercedes
7,3.0,4,1125,1.0,0.0,0.0,43.414,2024,Aston Martin
8,5.0,857,1125,1.0,0.0,0.0,56.198,2024,McLaren
9,18.0,1,1125,1.0,0.0,0.0,57.986,2024,Mercedes
10,9.0,807,1125,1.0,0.0,0.0,60.476,2024,Haas
11,13.0,839,1125,1.0,0.0,0.0,62.812,2024,Alpine
12,14.0,848,1125,1.0,0.0,0.0,65.506,2024,Williams
13,15.0,842,1125,1.0,0.0,0.0,69.223,2024,Alpine
14,16.0,855,1125,1.0,0.0,0.0,71.689,2024,Kick Sauber
15,11.0,840,1125,1.0,0.0,0.0,82.786,2024,Aston Martin
16,17.0,825,1125,1.0,0.0,0.0,87.533,2024,Haas
17,20.0,858,1125,1.0,0.0,0.0,95.11,2024,Williams
NC,12.0,817,1125,0.0,1.0,,,2024,RB
NC,19.0,852,1125,0.0,1.0,,,2024,RB
NC,10.0,822,1125,0.0,1.0,,,2024,Kick Sauber
1,5.0,846,1126,1.0,0.0,0.0,0.0,2024,McLaren
2,1.0,830,1126,1.0,0.0,0.0,7.612,2024,Red Bull Racing
3,2.0,844,1126,1.0,0.0,0.0,9.92,2024,Ferrari
4,4.0,815,1126,1.0,0.0,0.0,14.65,2024,Red Bull Racing
5,3.0,832,1126,1.0,0.0,0.0,16.407,2024,Ferrari
6,8.0,1,1126,1.0,0.0,0.0,16.585,2024,Mercedes
7,10.0,852,1126,1.0,0.0,0.0,26.185,2024,RB
8,7.0,847,1126,1.0,0.0,0.0,34.789,2024,Mercedes
9,15.0,4,1126,1.0,0.0,0.0,37.107,2024,Aston Martin
10,13.0,839,1126,1.0,0.0,0.0,39.746,2024,Alpine
11,9.0,807,1126,1.0,0.0,0.0,40.789,2024,Haas
