Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team,Track,raceId,rain,sunny
7,4,842.0,1.0,0.0,0.0,36.002,2025,Alpine,Bahrain,1148,0.0,1.0
8,14,839.0,1.0,0.0,0.0,44.244,2025,Haas,Bahrain,1148,0.0,1.0
9,10,852.0,1.0,0.0,0.0,45.061,2025,Red Bull Racing,Bahrain,1148,0.0,1.0
10,20,860.0,1.0,0.0,0.0,47.594,2025,Haas,Bahrain,1148,0.0,1.0
11,5,863.0,1.0,0.0,0.0,48.016,2025,Mercedes,Bahrain,1148,0.0,1.0
12,15,848.0,1.0,0.0,0.0,48.839,2025,Williams,Bahrain,1148,0.0,1.0
13,12,864.0,1.0,0.0,0.0,56.314,2025,Racing Bulls,Bahrain,1148,0.0,1.0
14,11,862.0,1.0,0.0,0.0,57.806,2025,Alpine,Bahrain,1148,0.0,1.0
15,13,4.0,1.0,0.0,0.0,60.34,2025,Aston Martin,Bahrain,1148,0.0,1.0
16,17,859.0,1.0,0.0,0.0,64.435,2025,Racing Bulls,Bahrain,1148,0.0,1.0
17,19,840.0,1.0,0.0,0.0,65.489,2025,Aston Martin,Bahrain,1148,0.0,1.0
18,18,865.0,1.0,0.0,0.0,66.872,2025,Kick Sauber,Bahrain,1148,0.0,1.0
NC,8,832.0,0.0,1.0,,,2025,Williams,Bahrain,1148,0.0,1.0
DQ,16,807.0,0.0,1.0,,,2025,Kick Sauber,Bahrain,1148,0.0,1.0
1,2,857.0,1.0,0.0,0.0,0.0,2025,McLaren,Saudi Arabia,1149,0.0,1.0
2,1,830.0,1.0,0.0,0.0,2.843,2025,Red Bull Racing,Saudi Arabia,1149,0.0,1.0
3,4,844.0,1.0,0.0,0.0,8.104,2025,Ferrari,Saudi Arabia,1149,0.0,1.0
4,10,846.0,1.0,0.0,0.0,9.196,2025,McLaren,Saudi Arabia,1149,0.0,1.0
5,3,847.0,1.0,0.0,0.0,27.236,2025,Mercedes,Saudi Arabia,1149,0.0,1.0
6,5,863.0,1.0,0.0,0.0,34.688,2025,Mercedes,Saudi Arabia,1149,0.0,1.0
7,7,1.0,1.0,0.0,0.0,39.073,2025,Ferrari,Saudi Arabia,1149,0.0,1.0
8,6,832.0,1.0,0.0,0.0,64.63,2025,Williams,Saudi Arabia,1149,0.0,1.0
9,11,848.0,1.0,0.0,0.0,66.515,2025,Williams,Saudi Arabia,1149,0.0,1.0
10,14,864.0,1.0,0.0,0.0,67.091,2025,Racing Bulls,Saudi Arabia,1149,0.0,1.0
11,13,4.0,1.0,0.0,0.0,75.917,2025,Aston Martin,Saudi Arabia,1149,0.0,1.0
12,12,859.0,1.0,0.0,0.0,78.451,2025,Racing Bulls,Saudi Arabia,1149,0.0,1.0
13,15,860.0,1.0,0.0,0.0,79.194,2025,Haas,Saudi Arabia,1149,0.0,1.0
14,19,839.0,1.0,0.0,0.0,99.723,2025,Haas,Saudi Arabia,1149,0.0,1.0
15,18,807.0,1.0,0.0,1.0,,2025,Kick Sauber,Saudi Arabia,1149,0.0,1.0
16,16,840.0,1.0,0.0,1.0,,2025,Aston Martin,Saudi Arabia,1149,0.0,1.0
17,17,862.0,1.0,0.0,1.0,,2025,Alpine,Saudi Arabia,1149,0.0,1.0
18,20,865.0,1.0,0.0,1.0,,2025,Kick Sauber,Saudi Arabia,1149,0.0,1.0
NC,8,852.0,0.0,1.0,,,2025,Red Bull Racing,Saudi Arabia,1149,0.0,1.0
NC,9,842.0,0.0,1.0,,,2025,Alpine,Saudi Arabia,1149,0.0,1.0
1,4,857.0,1.0,0.0,0.0,0.0,2025,McLaren,Miami,1150,1.0,0.0
2,2,846.0,1.0,0.0,0.0,4.63,2025,McLaren,Miami,1150,1.0,0.0
3,5,847.0,1.0,0.0,0.0,37.644,2025,Mercedes,Miami,1150,1.0,0.0
4,1,830.0,1.0,0.0,0.0,39.956,2025,Red Bull Racing,Miami,1150,1.0,0.0
5,7,848.0,1.0,0.0,0.0,48.067,2025,Williams,Miami,1150,1.0,0.0
6,3,863.0,1.0,0.0,0.0,55.502,2025,Mercedes,Miami,1150,1.0,0.0
7,8,844.0,1.0,0.0,0.0,57.036,2025,Ferrari,Miami,1150,1.0,0.0
8,12,1.0,1.0,0.0,0.0,60.186,2025,Ferrari,Miami,1150,1.0,0.0
9,6,832.0,1.0,0.0,0.0,60.577,2025,Williams,Miami,1150,1.0,0.0
10,10,852.0,1.0,0.0,0.0,74.434,2025,Red Bull Racing,Miami,1150,1.0,0.0
11,11,864.0,1.0,0.0,0.0,74.602,2025,Racing Bulls,Miami,1150,1.0,0.0
12,9,839.0,1.0,0.0,0.0,82.006,2025,Haas,Miami,1150,1.0,0.0
13,20,842.0,1.0,0.0,0.0,90.445,2025,Alpine,Miami,1150,1.0,0.0
14,16,807.0,1.0,0.0,1.0,,2025,Kick Sauber,Miami,1150,1.0,0.0
15,17,4.0,1.0,0.0,1.0,,2025,Aston Martin,Miami,1150,1.0,0.0
16,18,840.0,1.0,0.0,1.0,,2025,Aston Martin,Miami,1150,1.0,0.0
NC,15,859.0,0.0,1.0,,,2025,Racing Bulls,Miami,1150,1.0,0.0
NC,13,865.0,0.0,1.0,,,2025,Kick Sauber,Miami,1150,1.0,0.0
NC,19,860.0,0.0,1.0,,,2025,Haas,Miami,1150,1.0,0.0
NC,14,862.0,0.0,1.0,,,2025,Alpine,Miami,1150,1.0,0.0
1,2,830.0,1.0,0.0,0.0,0.0,2025,Red Bull Racing,Emilia Romagna,1151,0.0,1.0
2,4,846.0,1.0,0.0,0.0,6.109,2025,McLaren,Emilia Romagna,1151,0.0,1.0
3,1,857.0,1.0,0.0,0.0,12.956,2025,McLaren,Emilia Romagna,1151,0.0,1.0
4,12,1.0,1.0,0.0,0.0,14.356,2025,Ferrari,Emilia Romagna,1151,0.0,1.0
5,7,848.0,1.0,0.0,0.0,17.945,2025,Williams,Emilia Romagna,1151,0.0,1.0
6,11,844.0,1.0,0.0,0.0,20.774,2025,Ferrari,Emilia Romagna,1151,0.0,1.0
7,3,847.0,1.0,0.0,0.0,22.304,2025,Mercedes,Emilia Romagna,1151,0.0,1.0
8,6,832.0,1.0,0.0,0.0,22.898,2025,Williams,Emilia Romagna,1151,0.0,1.0
9,9,864.0,1.0,0.0,0.0,23.586,2025,Racing Bulls,Emilia Romagna,1151,0.0,1.0
10,20,852.0,1.0,0.0,0.0,26.446,2025,Red Bull Racing,Emilia Romagna,1151,0.0,1.0
11,5,4.0,1.0,0.0,0.0,27.25,2025,Aston Martin,Emilia Romagna,1151,0.0,1.0
