Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track
1,1,844,1074,1.0,0.0,0.0,0.0,2022,Ferrari,Bahrain
2,3,832,1074,1.0,0.0,0.0,5.598,2022,Ferrari,Bahrain
3,5,1,1074,1.0,0.0,0.0,9.675,2022,Mercedes,Bahrain
4,9,847,1074,1.0,0.0,0.0,11.211,2022,Mercedes,Bahrain
5,7,825,1074,1.0,0.0,0.0,14.754,2022,Haas F1 Team,Bahrain
6,6,822,1074,1.0,0.0,0.0,16.119,2022,Alfa Romeo,Bahrain
7,11,839,1074,1.0,0.0,0.0,19.423,2022,Alpine,Bahrain
8,16,852,1074,1.0,0.0,0.0,20.386,2022,AlphaTauri,Bahrain
9,8,4,1074,1.0,0.0,0.0,22.39,2022,Alpine,Bahrain
10,15,855,1074,1.0,0.0,0.0,23.064,2022,Alfa Romeo,Bahrain
11,12,854,1074,1.0,0.0,0.0,32.574,2022,Haas F1 Team,Bahrain
12,19,840,1074,1.0,0.0,0.0,45.873,2022,Aston Martin,Bahrain
13,14,848,1074,1.0,0.0,0.0,53.932,2022,Williams,Bahrain
14,18,817,1074,1.0,0.0,0.0,54.975,2022,McLaren,Bahrain
15,13,846,1074,1.0,0.0,0.0,56.335,2022,McLaren,Bahrain
16,20,849,1074,1.0,0.0,0.0,61.795,2022,Williams,Bahrain
17,17,807,1074,1.0,0.0,0.0,63.829,2022,Aston Martin,Bahrain
18,4,815,1074,0.0,1.0,,,2022,Red Bull Racing,Bahrain
19,2,830,1074,0.0,1.0,,,2022,Red Bull Racing,Bahrain
NC,10,842,1074,0.0,1.0,,,2022,AlphaTauri,Bahrain
1,4,830,1075,1.0,0.0,0.0,0.0,2022,Red Bull Racing,Saudi Arabia
2,2,844,1075,1.0,0.0,0.0,0.549,2022,Ferrari,Saudi Arabia
3,3,832,1075,1.0,0.0,0.0,8.097,2022,Ferrari,Saudi Arabia
4,1,815,1075,1.0,0.0,0.0,10.8,2022,Red Bull Racing,Saudi Arabia
5,6,847,1075,1.0,0.0,0.0,32.732,2022,Mercedes,Saudi Arabia
6,5,839,1075,1.0,0.0,0.0,56.017,2022,Alpine,Saudi Arabia
7,11,846,1075,1.0,0.0,0.0,56.124,2022,McLaren,Saudi Arabia
8,9,842,1075,1.0,0.0,0.0,62.946,2022,AlphaTauri,Saudi Arabia
9,10,825,1075,1.0,0.0,0.0,64.308,2022,Haas F1 Team,Saudi Arabia
10,15,1,1075,1.0,0.0,0.0,73.948,2022,Mercedes,Saudi Arabia
11,12,855,1075,1.0,0.0,0.0,82.215,2022,Alfa Romeo,Saudi Arabia
12,17,807,1075,1.0,0.0,0.0,91.742,2022,Aston Martin,Saudi Arabia
13,13,840,1075,1.0,0.0,1.0,,2022,Aston Martin,Saudi Arabia
14,16,848,1075,0.0,1.0,,,2022,Williams,Saudi Arabia
NC,8,822,1075,0.0,1.0,,,2022,Alfa Romeo,Saudi Arabia
NC,7,4,1075,0.0,1.0,,,2022,Alpine,Saudi Arabia
NC,14,817,1075,0.0,1.0,,,2022,McLaren,Saudi Arabia
NC,18,849,1075,0.0,1.0,,,2022,Williams,Saudi Arabia
NC,19,852,1075,0.0,1.0,,,2022,AlphaTauri,Saudi Arabia
NC,20,854,1075,0.0,1.0,,,2022,Haas F1 Team,Saudi Arabia
1,1,844,1076,1.0,0.0,0.0,0.0,2022,Ferrari,Australia
2,3,815,1076,1.0,0.0,0.0,20.524,2022,Red Bull Racing,Australia
3,6,847,1076,1.0,0.0,0.0,25.593,2022,Mercedes,Australia
4,5,1,1076,1.0,0.0,0.0,28.543,2022,Mercedes,Australia
5,4,846,1076,1.0,0.0,0.0,53.303,2022,McLaren,Australia
6,7,817,1076,1.0,0.0,0.0,53.737,2022,McLaren,Australia
7,8,839,1076,1.0,0.0,0.0,61.683,2022,Alpine,Australia
8,12,822,1076,1.0,0.0,0.0,68.439,2022,Alfa Romeo,Australia
9,11,842,1076,1.0,0.0,0.0,76.221,2022,AlphaTauri,Australia
10,20,848,1076,1.0,0.0,0.0,79.382,2022,Williams,Australia
11,14,855,1076,1.0,0.0,0.0,81.695,2022,Alfa Romeo,Australia
12,19,840,1076,1.0,0.0,0.0,88.598,2022,Aston Martin,Australia
13,15,854,1076,1.0,0.0,1.0,,2022,Haas F1 Team,Australia
14,16,825,1076,1.0,0.0,1.0,,2022,Haas F1 Team,Australia
15,13,852,1076,1.0,0.0,1.0,,2022,AlphaTauri,Australia
16,18,849,1076,1.0,0.0,1.0,,2022,Williams,Australia
17,10,4,1076,1.0,0.0,1.0,,2022,Alpine,Australia
NC,2,830,1076,0.0,1.0,,,2022,Red Bull Racing,Australia
NC,17,20,1076,0.0,1.0,,,2022,Aston Martin,Australia
NC,9,832,1076,0.0,1.0,,,2022,Ferrari,Australia
1,1,830,1077,1.0,0.0,0.0,0.0,2022,Red Bull Racing,Emilia Romagna
2,3,815,1077,1.0,0.0,0.0,16.527,2022,Red Bull Racing,Emilia Romagna
3,5,846,1077,1.0,0.0,0.0,34.834,2022,McLaren,Emilia Romagna
4,11,847,1077,1.0,0.0,0.0,42.506,2022,Mercedes,Emilia Romagna
5,7,822,1077,1.0,0.0,0.0,43.181,2022,Alfa Romeo,Emilia Romagna
6,2,844,1077,1.0,0.0,0.0,56.072,2022,Ferrari,Emilia Romagna
7,12,852,1077,1.0,0.0,0.0,61.11,2022,AlphaTauri,Emilia Romagna
8,13,20,1077,1.0,0.0,0.0,70.892,2022,Aston Martin,Emilia Romagna
9,8,825,1077,1.0,0.0,0.0,75.26,2022,Haas F1 Team,Emilia Romagna
10,15,840,1077,1.0,0.0,1.0,,2022,Aston Martin,Emilia Romagna
11,18,848,1077,1.0,0.0,1.0,,2022,Williams,Emilia Romagna
12,17,842,1077,1.0,0.0,1.0,,2022,AlphaTauri,Emilia Romagna
13,14,1,1077,1.0,0.0,1.0,,2022,Mercedes,Emilia Romagna
14,16,839,1077,1.0,0.0,1.0,,2022,Alpine,Emilia Romagna
15,20,855,1077,1.0,0.0,1.0,,2022,Alfa Romeo,Emilia Romagna
16,19,849,1077,1.0,0.0,1.0,,2022,Williams,Emilia Romagna
17,10,854,1077,1.0,0.0,1.0,,2022,Haas F1 Team,Emilia Romagna
18,6,817,1077,1.0,0.0,1.0,,2022,McLaren,Emilia Romagna
NC,9,4,1077,0.0,1.0,,,2022,Alpine,Emilia Romagna
NC,4,832,1077,0.0,1.0,,,2022,Ferrari,Emilia Romagna
1,3,830,1078,1.0,0.0,0.0,0.0,2022,Red Bull Racing,Miami
2,1,844,1078,1.0,0.0,0.0,3.786,2022,Ferrari,Miami
3,2,832,1078,1.0,0.0,0.0,8.229,2022,Ferrari,Miami
4,4,815,1078,1.0,0.0,0.0,10.638,2022,Red Bull Racing,Miami
5,12,847,1078,1.0,0.0,0.0,18.582,2022,Mercedes,Miami
6,6,1,1078,1.0,0.0,0.0,21.368,2022,Mercedes,Miami
7,5,822,1078,1.0,0.0,0.0,25.073,2022,Alfa Romeo,Miami
8,20,839,1078,1.0,0.0,0.0,28.386,2022,Alpine,Miami
9,18,848,1078,1.0,0.0,0.0,32.365,2022,Williams,Miami
10,10,840,1078,1.0,0.0,0.0,37.026,2022,Aston Martin,Miami
11,11,4,1078,1.0,0.0,0.0,37.128,2022,Alpine,Miami
12,9,852,1078,1.0,0.0,0.0,40.146,2022,AlphaTauri,Miami
13,14,817,1078,1.0,0.0,0.0,40.902,2022,McLaren,Miami
14,19,849,1078,1.0,0.0,0.0,49.936,2022,Williams,Miami
15,15,854,1078,1.0,0.0,0.0,73.305,2022,Haas F1 Team,Miami
16,16,825,1078,0.0,1.0,,,2022,Haas F1 Team,Miami
17,13,20,1078,0.0,1.0,,,2022,Aston Martin,Miami
NC,7,842,1078,0.0,1.0,,,2022,AlphaTauri,Miami
NC,8,846,1078,0.0,1.0,,,2022,McLaren,Miami
NC,17,855,1078,0.0,1.0,,,2022,Alfa Romeo,Miami
1,2,830,1079,1.0,0.0,0.0,0.0,2022,Red Bull Racing,Spain
2,5,815,1079,1.0,0.0,0.0,13.072,2022,Red Bull Racing,Spain
3,4,847,1079,1.0,0.0,0.0,32.927,2022,Mercedes,Spain
4,3,832,1079,1.0,0.0,0.0,45.208,2022,Ferrari,Spain
5,6,1,1079,1.0,0.0,0.0,54.534,2022,Mercedes,Spain
6,7,822,1079,1.0,0.0,0.0,59.976,2022,Alfa Romeo,Spain
7,12,839,1079,1.0,0.0,0.0,75.397,2022,Alpine,Spain
