Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team
1,2.0,1,1052,1.0,0.0,0.0,0.0,2021,Mercedes
2,1.0,830,1052,1.0,0.0,0.0,0.745,2021,Red Bull Racing
3,3.0,822,1052,1.0,0.0,0.0,37.383,2021,Mercedes
4,7.0,846,1052,1.0,0.0,0.0,46.466,2021,McLaren
5,11.0,815,1052,1.0,0.0,0.0,52.047,2021,Red Bull Racing
6,4.0,844,1052,1.0,0.0,0.0,59.09,2021,Ferrari
7,6.0,817,1052,1.0,0.0,0.0,66.004,2021,McLaren
8,8.0,832,1052,1.0,0.0,0.0,67.1,2021,Ferrari
9,13.0,852,1052,1.0,0.0,0.0,85.692,2021,AlphaTauri
10,10.0,840,1052,1.0,0.0,0.0,86.713,2021,Aston Martin
11,14.0,8,1052,1.0,0.0,0.0,88.864,2021,Alfa Romeo
12,12.0,841,1052,1.0,0.0,1.0,,2021,Alfa Romeo
13,16.0,839,1052,1.0,0.0,1.0,,2021,Alpine
14,15.0,847,1052,1.0,0.0,1.0,,2021,Williams
15,20.0,20,1052,1.0,0.0,1.0,,2021,Aston Martin
16,18.0,854,1052,1.0,0.0,1.0,,2021,Haas
17,5.0,842,1052,0.0,1.0,,,2021,AlphaTauri
18,17.0,849,1052,0.0,1.0,,,2021,Williams
NC,9.0,4,1052,0.0,1.0,,,2021,Alpine
NC,19.0,853,1052,0.0,1.0,,,2021,Haas
1,2.0,830,1053,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,1.0,1,1053,1.0,0.0,0.0,22.0,2021,Mercedes
3,7.0,846,1053,1.0,0.0,0.0,23.702,2021,McLaren
4,4.0,844,1053,1.0,0.0,0.0,25.579,2021,Ferrari
5,11.0,832,1053,1.0,0.0,0.0,27.036,2021,Ferrari
6,6.0,817,1053,1.0,0.0,0.0,51.22,2021,McLaren
7,5.0,842,1053,1.0,0.0,0.0,52.818,2021,AlphaTauri
8,10.0,840,1053,1.0,0.0,0.0,56.909,2021,Aston Martin
9,9.0,839,1053,1.0,0.0,0.0,65.704,2021,Alpine
10,15.0,4,1053,1.0,0.0,0.0,66.561,2021,Alpine
11,2.0,815,1053,1.0,0.0,0.0,67.151,2021,Red Bull Racing
12,20.0,852,1053,1.0,0.0,0.0,73.184,2021,AlphaTauri
13,16.0,8,1053,1.0,0.0,0.0,94.773,2021,Alfa Romeo
14,17.0,841,1053,1.0,0.0,1.0,,2021,Alfa Romeo
15,13.0,20,1053,0.0,1.0,,,2021,Aston Martin
16,18.0,854,1053,1.0,0.0,2.0,,2021,Haas
17,19.0,853,1053,1.0,0.0,2.0,,2021,Haas
NC,8.0,822,1053,0.0,1.0,,,2021,Mercedes
NC,12.0,847,1053,0.0,1.0,,,2021,Williams
NC,14.0,849,1053,0.0,1.0,,,2021,Williams
1,2.0,1,1054,1.0,0.0,0.0,0.0,2021,Mercedes
2,3.0,830,1054,1.0,0.0,0.0,29.148,2021,Red Bull Racing
3,1.0,822,1054,1.0,0.0,0.0,33.53,2021,Mercedes
4,4.0,815,1054,1.0,0.0,0.0,39.735,2021,Red Bull Racing
5,7.0,846,1054,1.0,0.0,0.0,51.369,2021,McLaren
6,8.0,844,1054,1.0,0.0,0.0,55.781,2021,Ferrari
7,6.0,839,1054,1.0,0.0,0.0,63.749,2021,Alpine
8,13.0,4,1054,1.0,0.0,0.0,64.808,2021,Alpine
9,16.0,817,1054,1.0,0.0,0.0,75.369,2021,McLaren
10,9.0,842,1054,1.0,0.0,0.0,76.463,2021,AlphaTauri
11,5.0,832,1054,1.0,0.0,0.0,78.955,2021,Ferrari
12,12.0,841,1054,1.0,0.0,1.0,,2021,Alfa Romeo
13,10.0,20,1054,1.0,0.0,1.0,,2021,Aston Martin
14,17.0,840,1054,1.0,0.0,1.0,,2021,Aston Martin
15,14.0,852,1054,1.0,0.0,1.0,,2021,AlphaTauri
16,11.0,847,1054,1.0,0.0,1.0,,2021,Williams
17,19.0,854,1054,1.0,0.0,2.0,,2021,Haas
18,18.0,849,1054,1.0,0.0,2.0,,2021,Williams
19,20.0,853,1054,1.0,0.0,2.0,,2021,Haas
NC,15.0,8,1054,0.0,1.0,,,2021,Alfa Romeo
1,1.0,1,1055,1.0,0.0,0.0,0.0,2021,Mercedes
2,2.0,830,1055,1.0,0.0,0.0,15.841,2021,Red Bull Racing
3,3.0,822,1055,1.0,0.0,0.0,26.61,2021,Mercedes
4,4.0,844,1055,1.0,0.0,0.0,54.616,2021,Ferrari
5,8.0,815,1055,1.0,0.0,0.0,63.671,2021,Red Bull Racing
6,7.0,817,1055,1.0,0.0,0.0,73.768,2021,McLaren
7,6.0,832,1055,1.0,0.0,0.0,74.67,2021,Ferrari
8,9.0,846,1055,1.0,0.0,1.0,,2021,McLaren
9,5.0,839,1055,1.0,0.0,1.0,,2021,Alpine
10,12.0,842,1055,1.0,0.0,1.0,,2021,AlphaTauri
11,11.0,840,1055,1.0,0.0,1.0,,2021,Aston Martin
12,17.0,8,1055,1.0,0.0,1.0,,2021,Alfa Romeo
13,13.0,20,1055,1.0,0.0,1.0,,2021,Aston Martin
14,15.0,847,1055,1.0,0.0,1.0,,2021,Williams
15,14.0,841,1055,1.0,0.0,1.0,,2021,Alfa Romeo
16,19.0,849,1055,1.0,0.0,1.0,,2021,Williams
17,10.0,4,1055,1.0,0.0,1.0,,2021,Alpine
18,18.0,854,1055,1.0,0.0,2.0,,2021,Haas
19,20.0,853,1055,1.0,0.0,2.0,,2021,Haas
NC,16.0,852,1055,0.0,1.0,,,2021,AlphaTauri
1,2.0,830,1056,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,4.0,832,1056,1.0,0.0,0.0,8.968,2021,Ferrari
3,5.0,846,1056,1.0,0.0,0.0,19.427,2021,McLaren
4,9.0,815,1056,1.0,0.0,0.0,20.49,2021,Red Bull Racing
5,8.0,20,1056,1.0,0.0,0.0,52.591,2021,Aston Martin
6,6.0,842,1056,1.0,0.0,0.0,53.896,2021,AlphaTauri
7,7.0,1,1056,1.0,0.0,0.0,68.231,2021,Mercedes
8,13.0,840,1056,1.0,0.0,1.0,,2021,Aston Martin
9,11.0,839,1056,1.0,0.0,1.0,,2021,Alpine
10,10.0,841,1056,1.0,0.0,1.0,,2021,Alfa Romeo
11,14.0,8,1056,1.0,0.0,1.0,,2021,Alfa Romeo
12,12.0,817,1056,1.0,0.0,1.0,,2021,McLaren
13,17.0,4,1056,1.0,0.0,1.0,,2021,Alpine
14,15.0,847,1056,1.0,0.0,1.0,,2021,Williams
15,18.0,849,1056,1.0,0.0,1.0,,2021,Williams
16,16.0,852,1056,1.0,0.0,1.0,,2021,AlphaTauri
17,19.0,853,1056,1.0,0.0,3.0,,2021,Haas
18,20.0,854,1056,1.0,0.0,3.0,,2021,Haas
NC,3.0,822,1056,0.0,1.0,,,2021,Mercedes
NC,1.0,844,1056,0.0,1.0,,,2021,Ferrari
1,6.0,815,1057,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,11.0,20,1057,1.0,0.0,0.0,1.385,2021,Aston Martin
3,4.0,842,1057,1.0,0.0,0.0,2.762,2021,AlphaTauri
4,1.0,844,1057,1.0,0.0,0.0,3.828,2021,Ferrari
5,9.0,846,1057,1.0,0.0,0.0,4.754,2021,McLaren
6,8.0,4,1057,1.0,0.0,0.0,6.382,2021,Alpine
7,7.0,852,1057,1.0,0.0,0.0,6.624,2021,AlphaTauri
8,5.0,832,1057,1.0,0.0,0.0,7.709,2021,Ferrari
9,13.0,817,1057,1.0,0.0,0.0,8.874,2021,McLaren
10,14.0,8,1057,1.0,0.0,0.0,9.576,2021,Alfa Romeo
11,20.0,841,1057,1.0,0.0,0.0,10.254,2021,Alfa Romeo
12,10.0,822,1057,1.0,0.0,0.0,11.264,2021,Mercedes
13,17.0,854,1057,1.0,0.0,0.0,14.241,2021,Haas
14,18.0,853,1057,1.0,0.0,0.0,14.315,2021,Haas
15,2.0,1,1057,1.0,0.0,0.0,17.668,2021,Mercedes
16,16.0,849,1057,1.0,0.0,0.0,42.379,2021,Williams
17,15.0,847,1057,0.0,1.0,,,2021,Williams
18,3.0,830,1057,0.0,1.0,,,2021,Red Bull Racing
NC,19.0,840,1057,0.0,1.0,,,2021,Aston Martin
NC,12.0,839,1057,0.0,1.0,,,2021,Alpine
1,1.0,830,1059,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,2.0,1,1059,1.0,0.0,0.0,2.904,2021,Mercedes
3,4.0,815,1059,1.0,0.0,0.0,8.811,2021,Red Bull Racing
4,3.0,822,1059,1.0,0.0,0.0,14.618,2021,Mercedes
5,8.0,846,1059,1.0,0.0,0.0,64.032,2021,McLaren
6,10.0,817,1059,1.0,0.0,0.0,75.857,2021,McLaren
7,6.0,842,1059,1.0,0.0,0.0,76.596,2021,AlphaTauri
8,9.0,4,1059,1.0,0.0,0.0,77.695,2021,Alpine
9,12.0,20,1059,1.0,0.0,0.0,79.666,2021,Aston Martin
10,19.0,840,1059,1.0,0.0,0.0,91.946,2021,Aston Martin
11,5.0,832,1059,1.0,0.0,0.0,99.337,2021,Ferrari
12,14.0,847,1059,1.0,0.0,1.0,,2021,Williams
13,20.0,852,1059,1.0,0.0,1.0,,2021,AlphaTauri
14,11.0,839,1059,1.0,0.0,1.0,,2021,Alpine
15,13.0,841,1059,1.0,0.0,1.0,,2021,Alfa Romeo
16,7.0,844,1059,1.0,0.0,1.0,,2021,Ferrari
17,17.0,8,1059,1.0,0.0,1.0,,2021,Alfa Romeo
18,16.0,849,1059,1.0,0.0,1.0,,2021,Williams
19,15.0,854,1059,1.0,0.0,1.0,,2021,Haas
20,18.0,853,1059,1.0,0.0,1.0,,2021,Haas
1,1.0,830,1058,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,2.0,1,1058,1.0,0.0,0.0,35.743,2021,Mercedes
3,5.0,822,1058,1.0,0.0,0.0,46.907,2021,Mercedes
4,4.0,815,1058,1.0,0.0,0.0,47.434,2021,Red Bull Racing
5,3.0,846,1058,1.0,0.0,1.0,,2021,McLaren
6,12.0,832,1058,1.0,0.0,1.0,,2021,Ferrari
7,7.0,844,1058,1.0,0.0,1.0,,2021,Ferrari
8,9.0,840,1058,1.0,0.0,1.0,,2021,Aston Martin
9,8.0,4,1058,1.0,0.0,1.0,,2021,Alpine
10,11.0,852,1058,1.0,0.0,1.0,,2021,AlphaTauri
11,18.0,8,1058,1.0,0.0,1.0,,2021,Alfa Romeo
12,14.0,20,1058,1.0,0.0,1.0,,2021,Aston Martin
13,13.0,817,1058,1.0,0.0,1.0,,2021,McLaren
14,17.0,839,1058,1.0,0.0,1.0,,2021,Alpine
15,15.0,841,1058,1.0,0.0,1.0,,2021,Alfa Romeo
16,19.0,854,1058,1.0,0.0,2.0,,2021,Haas
17,16.0,849,1058,1.0,0.0,3.0,,2021,Williams
18,20.0,853,1058,1.0,0.0,3.0,,2021,Haas
NC,10.0,847,1058,0.0,1.0,,,2021,Williams
NC,6.0,842,1058,0.0,1.0,,,2021,AlphaTauri
1,1.0,830,1060,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,5.0,822,1060,1.0,0.0,0.0,17.973,2021,Mercedes
3,2.0,846,1060,1.0,0.0,0.0,20.019,2021,McLaren
4,4.0,1,1060,1.0,0.0,0.0,46.452,2021,Mercedes
5,10.0,832,1060,1.0,0.0,0.0,57.144,2021,Ferrari
6,3.0,815,1060,1.0,0.0,0.0,57.915,2021,Red Bull Racing
7,13.0,817,1060,1.0,0.0,0.0,60.395,2021,McLaren
8,12.0,844,1060,1.0,0.0,0.0,61.195,2021,Ferrari
9,6.0,842,1060,1.0,0.0,0.0,61.844,2021,AlphaTauri
10,14.0,4,1060,1.0,0.0,1.0,,2021,Alpine
11,8.0,847,1060,1.0,0.0,1.0,,2021,Williams
12,7.0,852,1060,1.0,0.0,1.0,,2021,AlphaTauri
13,9.0,840,1060,1.0,0.0,1.0,,2021,Aston Martin
14,15.0,841,1060,1.0,0.0,1.0,,2021,Alfa Romeo
15,16.0,8,1060,1.0,0.0,1.0,,2021,Alfa Romeo
16,18.0,849,1060,1.0,0.0,1.0,,2021,Williams
17,11.0,20,1060,0.0,1.0,,,2021,Aston Martin
18,19.0,854,1060,1.0,0.0,2.0,,2021,Haas
19,20.0,853,1060,1.0,0.0,2.0,,2021,Haas
NC,17.0,839,1060,0.0,1.0,,,2021,Alpine
1,2.0,1,1061,1.0,0.0,0.0,0.0,2021,Mercedes
2,4.0,844,1061,1.0,0.0,0.0,3.871,2021,Ferrari
3,3.0,822,1061,1.0,0.0,0.0,11.215,2021,Mercedes
4,5.0,846,1061,1.0,0.0,0.0,28.573,2021,McLaren
5,6.0,817,1061,1.0,0.0,0.0,42.624,2021,McLaren
6,10.0,832,1061,1.0,0.0,0.0,43.454,2021,Ferrari
7,7.0,4,1061,1.0,0.0,0.0,72.093,2021,Alpine
8,14.0,840,1061,1.0,0.0,0.0,74.289,2021,Aston Martin
9,9.0,839,1061,1.0,0.0,0.0,76.162,2021,Alpine
10,,852,1061,1.0,0.0,0.0,82.065,2021,AlphaTauri
11,11.0,842,1061,1.0,0.0,0.0,85.327,2021,AlphaTauri
12,12.0,847,1061,1.0,0.0,1.0,,2021,Williams
13,15.0,841,1061,1.0,0.0,1.0,,2021,Alfa Romeo
14,17.0,849,1061,1.0,0.0,1.0,,2021,Williams
15,13.0,8,1061,1.0,0.0,1.0,,2021,Alfa Romeo
16,20.0,815,1061,1.0,0.0,1.0,,2021,Red Bull Racing
17,19.0,853,1061,1.0,0.0,1.0,,2021,Haas
18,18.0,854,1061,1.0,0.0,1.0,,2021,Haas
NC,8.0,20,1061,0.0,1.0,,,2021,Aston Martin
NC,1.0,830,1061,0.0,1.0,,,2021,Red Bull Racing
1,8.0,839,1062,1.0,0.0,0.0,0.0,2021,Alpine
DQ,10.0,20,1062,1.0,0.0,0.0,1.859,2021,Aston Martin
2,1.0,1,1062,1.0,0.0,0.0,2.736,2021,Mercedes
3,15.0,832,1062,1.0,0.0,0.0,15.018,2021,Ferrari
4,9.0,4,1062,1.0,0.0,0.0,15.651,2021,Alpine
5,5.0,842,1062,1.0,0.0,0.0,63.614,2021,AlphaTauri
6,16.0,852,1062,1.0,0.0,0.0,75.803,2021,AlphaTauri
7,18.0,849,1062,1.0,0.0,0.0,77.91,2021,Williams
8,17.0,847,1062,1.0,0.0,0.0,79.094,2021,Williams
9,3.0,830,1062,1.0,0.0,0.0,80.244,2021,Red Bull Racing
10,13.0,8,1062,1.0,0.0,1.0,,2021,Alfa Romeo
11,11.0,817,1062,1.0,0.0,1.0,,2021,McLaren
12,20.0,854,1062,1.0,0.0,1.0,,2021,Haas
13,14.0,841,1062,1.0,0.0,1.0,,2021,Alfa Romeo
NC,19.0,853,1062,0.0,1.0,,,2021,Haas
NC,6.0,846,1062,0.0,1.0,,,2021,McLaren
NC,2.0,822,1062,0.0,1.0,,,2021,Mercedes
NC,4.0,815,1062,0.0,1.0,,,2021,Red Bull Racing
NC,7.0,844,1062,0.0,1.0,,,2021,Ferrari
NC,12.0,840,1062,0.0,1.0,,,2021,Aston Martin
1,1.0,830,1063,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,2.0,847,1063,1.0,0.0,0.0,1.995,2021,Williams
3,3.0,1,1063,1.0,0.0,0.0,2.601,2021,Mercedes
4,4.0,817,1063,1.0,0.0,0.0,4.496,2021,McLaren
5,5.0,20,1063,1.0,0.0,0.0,7.479,2021,Aston Martin
6,6.0,842,1063,1.0,0.0,0.0,10.177,2021,AlphaTauri
7,8.0,839,1063,1.0,0.0,0.0,11.579,2021,Alpine
8,9.0,844,1063,1.0,0.0,0.0,12.608,2021,Ferrari
9,10.0,849,1063,1.0,0.0,0.0,15.484,2021,Williams
10,11.0,832,1063,1.0,0.0,0.0,16.166,2021,Ferrari
11,12.0,4,1063,1.0,0.0,0.0,20.59,2021,Alpine
12,13.0,822,1063,1.0,0.0,0.0,22.414,2021,Mercedes
13,14.0,841,1063,1.0,0.0,0.0,24.163,2021,Alfa Romeo
14,15.0,846,1063,1.0,0.0,0.0,27.109,2021,McLaren
15,16.0,852,1063,1.0,0.0,0.0,28.329,2021,AlphaTauri
16,17.0,854,1063,1.0,0.0,0.0,29.507,2021,Haas
17,18.0,853,1063,1.0,0.0,0.0,31.993,2021,Haas
18,20.0,8,1063,1.0,0.0,0.0,36.054,2021,Alfa Romeo
19,7.0,815,1063,1.0,0.0,0.0,38.205,2021,Red Bull Racing
20,19.0,840,1063,1.0,0.0,0.0,44.108,2021,Aston Martin
1,1.0,830,1064,1.0,0.0,0.0,0.0,2021,Red Bull Racing
2,2.0,1,1064,1.0,0.0,0.0,20.932,2021,Mercedes
3,3.0,822,1064,1.0,0.0,0.0,56.46,2021,Mercedes
4,4.0,842,1064,1.0,0.0,1.0,,2021,AlphaTauri
5,5.0,844,1064,1.0,0.0,1.0,,2021,Ferrari
6,9.0,4,1064,1.0,0.0,1.0,,2021,Alpine
7,6.0,832,1064,1.0,0.0,1.0,,2021,Ferrari
8,20.0,815,1064,1.0,0.0,1.0,,2021,Red Bull Racing
9,8.0,839,1064,1.0,0.0,1.0,,2021,Alpine
10,13.0,846,1064,1.0,0.0,1.0,,2021,McLaren
11,10.0,817,1064,1.0,0.0,1.0,,2021,McLaren
12,12.0,840,1064,1.0,0.0,2.0,,2021,Aston Martin
13,15.0,20,1064,1.0,0.0,2.0,,2021,Aston Martin
14,7.0,841,1064,1.0,0.0,2.0,,2021,Alfa Romeo
15,16.0,9,1064,1.0,0.0,2.0,,2021,Alfa Romeo
16,19.0,849,1064,1.0,0.0,2.0,,2021,Williams
17,11.0,847,1064,0.0,1.0,,,2021,Williams
18,17.0,854,1064,1.0,0.0,3.0,,2021,Haas
NC,14.0,852,1064,0.0,1.0,,,2021,AlphaTauri
NC,18.0,853,1064,0.0,1.0,,,2021,Haas
1,2.0,817,1065,1.0,0.0,0.0,0.0,2021,McLaren
2,3.0,846,1065,1.0,0.0,0.0,1.747,2021,McLaren
3,19.0,822,1065,1.0,0.0,0.0,4.921,2021,Mercedes
4,5.0,844,1065,1.0,0.0,0.0,7.309,2021,Ferrari
5,8.0,815,1065,1.0,0.0,0.0,8.723,2021,Red Bull Racing
6,6.0,832,1065,1.0,0.0,0.0,10.535,2021,Ferrari
7,9.0,840,1065,1.0,0.0,0.0,15.804,2021,Aston Martin
8,10.0,4,1065,1.0,0.0,0.0,17.201,2021,Alpine
9,14.0,847,1065,1.0,0.0,0.0,19.742,2021,Williams
10,12.0,839,1065,1.0,0.0,0.0,20.868,2021,Alpine
11,13.0,849,1065,1.0,0.0,0.0,23.743,2021,Williams
12,11.0,20,1065,1.0,0.0,0.0,24.601,2021,Aston Martin
13,7.0,841,1065,1.0,0.0,0.0,27.216,2021,Alfa Romeo
14,17.0,9,1065,1.0,0.0,0.0,29.769,2021,Alfa Romeo
15,18.0,854,1065,1.0,0.0,0.0,51.088,2021,Haas
NC,16.0,853,1065,0.0,1.0,,,2021,Haas
NC,4.0,1,1065,0.0,1.0,,,2021,Mercedes
NC,1.0,830,1065,0.0,1.0,,,2021,Red Bull Racing
NC,20.0,842,1065,0.0,1.0,,,2021,AlphaTauri
NC,15.0,852,1065,0.0,1.0,,,2021,AlphaTauri
1,4.0,1,1066,1.0,0.0,0.0,0.0,2021,Mercedes
2,20.0,830,1066,1.0,0.0,0.0,53.271,2021,Red Bull Racing
3,2.0,832,1066,1.0,0.0,0.0,62.475,2021,Ferrari
4,5.0,817,1066,1.0,0.0,0.0,65.607,2021,McLaren
5,16.0,822,1066,1.0,0.0,0.0,67.533,2021,Mercedes
6,6.0,4,1066,1.0,0.0,0.0,81.321,2021,Alpine
7,1.0,846,1066,1.0,0.0,0.0,87.224,2021,McLaren
8,13.0,8,1066,1.0,0.0,0.0,88.955,2021,Alfa Romeo
9,8.0,815,1066,1.0,0.0,0.0,90.076,2021,Red Bull Racing
10,3.0,847,1066,1.0,0.0,0.0,100.551,2021,Williams
11,7.0,840,1066,1.0,0.0,0.0,116.198,2021,Aston Martin
12,10.0,20,1066,1.0,0.0,1.0,,2021,Aston Martin
13,11.0,842,1066,1.0,0.0,1.0,,2021,AlphaTauri
14,9.0,839,1066,1.0,0.0,1.0,,2021,Alpine
15,19.0,844,1066,1.0,0.0,1.0,,2021,Ferrari
16,17.0,841,1066,1.0,0.0,1.0,,2021,Alfa Romeo
17,12.0,852,1066,1.0,0.0,1.0,,2021,AlphaTauri
18,15.0,853,1066,1.0,0.0,2.0,,2021,Haas
19,18.0,849,1066,0.0,1.0,,,2021,Williams
NC,14.0,854,1066,0.0,1.0,,,2021,Haas
1,1.0,822,1067,1.0,0.0,0.0,0.0,2021,Mercedes
2,2.0,830,1067,1.0,0.0,0.0,14.584,2021,Red Bull Racing
3,6.0,815,1067,1.0,0.0,0.0,33.471,2021,Red Bull Racing
4,3.0,844,1067,1.0,0.0,0.0,37.814,2021,Ferrari
5,11.0,1,1067,1.0,0.0,0.0,41.812,2021,Mercedes
6,4.0,842,1067,1.0,0.0,0.0,44.292,2021,AlphaTauri
7,7.0,846,1067,1.0,0.0,0.0,47.213,2021,McLaren
8,19.0,832,1067,1.0,0.0,0.0,51.526,2021,Ferrari
9,8.0,840,1067,1.0,0.0,0.0,82.018,2021,Aston Martin
10,12.0,839,1067,1.0,0.0,1.0,,2021,Alpine
