Track,Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team
Brazil,7,11,1.0,1.0,0.0,0.0,18.603,2025,Ferrari
Brazil,8,13,842.0,1.0,0.0,0.0,19.366,2025,Alpine
Brazil,9,7,840.0,1.0,0.0,0.0,23.933,2025,Aston Martin
Brazil,10,9,864.0,1.0,0.0,0.0,29.548,2025,Racing Bulls
Brazil,11,18,839.0,1.0,0.0,0.0,31.0,2025,Haas
Brazil,12,15,860.0,1.0,0.0,0.0,36.334,2025,Haas
Brazil,13,19,852.0,1.0,0.0,0.0,38.462,2025,Red Bull Racing
Brazil,14,20,832.0,1.0,0.0,0.0,38.951,2025,Williams
Brazil,15,10,807.0,1.0,0.0,0.0,42.349,2025,Kick Sauber
Brazil,16,17,859.0,1.0,0.0,0.0,43.09,2025,Racing Bulls
Brazil,17,12,848.0,1.0,0.0,0.0,55.456,2025,Williams
Brazil,18,14,865.0,0.0,1.0,,,2025,Kick Sauber
Brazil,NC,3,857.0,0.0,1.0,,,2025,McLaren
Brazil,NC,16,861.0,0.0,1.0,,,2025,Alpine
Qatar,1,1,857.0,1.0,0.0,0.0,0.0,2025,McLaren
Qatar,2,2,847.0,1.0,0.0,0.0,4.951,2025,Mercedes
Qatar,3,3,846.0,1.0,0.0,0.0,6.279,2025,McLaren
Qatar,4,6,830.0,1.0,0.0,0.0,9.054,2025,Red Bull Racing
Qatar,5,5,852.0,1.0,0.0,0.0,19.327,2025,Red Bull Racing
Qatar,6,7,863.0,1.0,0.0,0.0,21.391,2025,Mercedes
Qatar,7,4,4.0,1.0,0.0,0.0,24.556,2025,Aston Martin
Qatar,8,8,832.0,1.0,0.0,0.0,27.333,2025,Williams
Qatar,9,11,864.0,1.0,0.0,0.0,28.206,2025,Racing Bulls
Qatar,10,10,848.0,1.0,0.0,0.0,28.925,2025,Williams
Qatar,11,13,865.0,1.0,0.0,0.0,32.966,2025,Kick Sauber
Qatar,12,12,860.0,1.0,0.0,0.0,34.529,2025,Haas
Qatar,13,9,844.0,1.0,0.0,0.0,35.182,2025,Ferrari
Qatar,14,16,859.0,1.0,0.0,0.0,36.916,2025,Racing Bulls
Qatar,15,15,839.0,1.0,0.0,0.0,38.838,2025,Haas
Qatar,16,14,807.0,1.0,0.0,0.0,39.638,2025,Kick Sauber
Qatar,17,18,1.0,1.0,0.0,0.0,46.171,2025,Ferrari
Qatar,18,19,842.0,1.0,0.0,0.0,69.534,2025,Alpine
Qatar,19,17,840.0,1.0,0.0,0.0,77.96,2025,Aston Martin
Qatar,20,20,861.0,1.0,0.0,0.0,80.804,2025,Alpine
