Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
8,12.0,815,1012,1.0,0.0,1.0,,2019,Racing Point,China,0,1,12.0,1.0,0.0,94.026,93.299,
9,13.0,8,1012,1.0,0.0,1.0,,2019,Alfa Romeo,China,0,1,13.0,1.0,0.0,94.125,93.419,
10,20.0,848,1012,1.0,0.0,1.0,,2019,Red Bull Racing,China,0,1,,,,,,
11,10.0,154,1012,1.0,0.0,1.0,,2019,Haas,China,0,1,10.0,1.0,0.0,93.752,93.156,
12,16.0,840,1012,1.0,0.0,1.0,,2019,Racing Point,China,0,1,16.0,0.0,0.0,94.292,,
13,9.0,825,1012,1.0,0.0,1.0,,2019,Haas,China,0,1,9.0,1.0,0.0,94.036,93.15,
14,14.0,832,1012,1.0,0.0,1.0,,2019,McLaren,China,0,1,14.0,1.0,0.0,93.686,93.523,
15,19.0,841,1012,1.0,0.0,1.0,,2019,Alfa Romeo,China,0,1,,,,,,
16,17.0,847,1012,1.0,0.0,2.0,,2019,Williams,China,0,1,17.0,0.0,0.0,95.253,,
17,18.0,9,1012,1.0,0.0,2.0,,2019,Williams,China,0,1,18.0,0.0,0.0,95.281,,
18,15.0,846,1012,0.0,1.0,,,2019,McLaren,China,0,1,15.0,1.0,0.0,94.148,93.967,
NC,11.0,826,1012,0.0,1.0,,,2019,Toro Rosso,China,0,1,11.0,1.0,0.0,93.783,93.236,
NC,8.0,807,1012,0.0,1.0,,,2019,Renault,China,0,1,8.0,1.0,1.0,93.644,93.968,92.962
1,1.0,822,1013,1.0,0.0,0.0,0.0,2019,Mercedes,Azerbaijan,0,1,1.0,1.0,1.0,102.026,101.5,100.495
2,2.0,1,1013,1.0,0.0,0.0,1.524,2019,Mercedes,Azerbaijan,0,1,2.0,1.0,1.0,101.614,101.58,100.554
3,3.0,20,1013,1.0,0.0,0.0,11.739,2019,Ferrari,Azerbaijan,0,1,3.0,1.0,1.0,102.042,101.889,100.797
4,4.0,830,1013,1.0,0.0,0.0,17.493,2019,Red Bull Racing,Azerbaijan,0,1,4.0,1.0,1.0,101.727,101.388,101.069
5,8.0,844,1013,1.0,0.0,0.0,69.107,2019,Ferrari,Azerbaijan,0,1,9.0,1.0,0.0,101.426,101.995,
6,5.0,815,1013,1.0,0.0,0.0,76.416,2019,Racing Point,Azerbaijan,0,1,5.0,1.0,1.0,102.249,101.87,101.593
7,9.0,832,1013,1.0,0.0,0.0,83.826,2019,McLaren,Azerbaijan,0,1,10.0,1.0,0.0,101.936,102.398,
8,7.0,846,1013,1.0,0.0,0.0,100.268,2019,McLaren,Azerbaijan,0,1,7.0,1.0,1.0,102.371,102.084,101.886
9,13.0,840,1013,1.0,0.0,0.0,103.816,2019,Racing Point,Azerbaijan,0,1,14.0,0.0,0.0,102.63,,
10,19.0,8,1013,1.0,0.0,1.0,,2019,Alfa Romeo,Azerbaijan,0,1,19.0,0.0,0.0,,,
11,11.0,848,1013,1.0,0.0,1.0,,2019,Red Bull Racing,Azerbaijan,0,1,12.0,1.0,0.0,102.154,102.494,
12,17.0,841,1013,1.0,0.0,1.0,,2019,Alfa Romeo,Azerbaijan,0,1,8.0,1.0,1.0,102.14,102.381,102.424
13,12.0,825,1013,1.0,0.0,1.0,,2019,Haas,Azerbaijan,0,1,13.0,1.0,0.0,102.382,102.699,
14,15.0,807,1013,1.0,0.0,1.0,,2019,Renault,Azerbaijan,0,1,16.0,0.0,0.0,103.427,,
15,16.0,847,1013,1.0,0.0,2.0,,2019,Williams,Azerbaijan,0,1,17.0,0.0,0.0,105.062,,
16,18.0,9,1013,1.0,0.0,2.0,,2019,Williams,Azerbaijan,0,1,18.0,0.0,0.0,105.455,,
NC,20.0,842,1013,0.0,1.0,,,2019,Toro Rosso,Azerbaijan,0,1,20.0,0.0,0.0,,,
NC,14.0,154,1013,0.0,1.0,,,2019,Haas,Azerbaijan,0,1,15.0,0.0,0.0,103.407,,
NC,6.0,826,1013,0.0,1.0,,,2019,Toro Rosso,Azerbaijan,0,1,6.0,1.0,1.0,102.324,102.221,101.681
NC,10.0,817,1013,0.0,1.0,,,2019,Renault,Azerbaijan,0,1,11.0,1.0,0.0,102.486,102.477,
1,2.0,1,1014,1.0,0.0,0.0,0.0,2019,Mercedes,Spain,0,1,2.0,1.0,1.0,77.292,76.038,76.03999999999999
2,1.0,822,1014,1.0,0.0,0.0,4.074,2019,Mercedes,Spain,0,1,1.0,1.0,1.0,76.979,75.924,75.406
3,4.0,830,1014,1.0,0.0,0.0,7.679,2019,Red Bull Racing,Spain,0,1,4.0,1.0,1.0,77.244,76.726,76.357
4,3.0,20,1014,1.0,0.0,0.0,9.167,2019,Ferrari,Spain,0,1,3.0,1.0,1.0,77.425,76.667,76.27199999999999
5,5.0,844,1014,1.0,0.0,0.0,13.361,2019,Ferrari,Spain,0,1,5.0,1.0,1.0,77.388,76.714,76.588
6,6.0,842,1014,1.0,0.0,0.0,19.576,2019,Toro Rosso,Spain,0,1,6.0,1.0,1.0,77.862,76.932,76.708
