Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
10,8.0,815,1037,1.0,0.0,0.0,53.179,2020,Racing Point,,1,0,8,1.0,1.0,103.349,102.67,102.532
11,11.0,826,1037,1.0,0.0,0.0,70.2,2020,AlphaTauri,,1,0,11,1.0,0.0,103.267,102.73,
12,16.0,8,1037,1.0,0.0,0.0,71.504,2020,Alfa Romeo,,1,0,16,0.0,0.0,103.743,,
13,14.0,20,1037,1.0,0.0,0.0,72.894,2020,Ferrari,,1,0,14,1.0,0.0,103.567,103.261,
14,13.0,844,1037,1.0,0.0,0.0,74.92,2020,Ferrari,,1,0,13,1.0,0.0,103.656,102.996,
15,17.0,154,1037,1.0,0.0,0.0,76.793,2020,Haas,,1,0,17,0.0,0.0,103.838,,
16,19.0,849,1037,1.0,0.0,0.0,77.795,2020,Williams,,1,0,19,0.0,0.0,104.138,,
17,20.0,825,1037,1.0,0.0,0.0,85.54,2020,Haas,,1,0,20,0.0,0.0,104.314,,
NC,18.0,841,1037,0.0,1.0,,,2020,Alfa Romeo,,1,0,18,0.0,0.0,103.95,,
NC,15.0,847,1037,0.0,1.0,,,2020,Williams,,1,0,15,1.0,0.0,103.63,103.468,
NC,7.0,832,1037,0.0,1.0,,,2020,McLaren,,1,0,7,1.0,1.0,103.322,102.478,102.438
1,1.0,842,1038,1.0,0.0,0.0,0.0,2020,AlphaTauri,,0,1,10,1.0,1.0,80.145,79.90899999999999,80.17699999999999
2,3.0,832,1038,1.0,0.0,0.0,0.415,2020,McLaren,,0,1,3,1.0,1.0,80.099,79.705,79.695
3,8.0,840,1038,1.0,0.0,0.0,3.358,2020,Racing Point,,0,1,8,1.0,1.0,80.4,79.924,80.049
4,6.0,846,1038,1.0,0.0,0.0,6.0,2020,McLaren,,0,1,6,1.0,1.0,80.344,79.962,79.82
5,2.0,822,1038,1.0,0.0,0.0,7.108,2020,Mercedes,,0,1,2,1.0,1.0,79.786,78.952,78.956
6,7.0,817,1038,1.0,0.0,0.0,8.391,2020,Renault,,0,1,7,1.0,1.0,80.548,80.031,79.864
7,1.0,1,1038,1.0,0.0,0.0,17.245,2020,Mercedes,,0,1,1,1.0,1.0,79.514,79.092,78.887
8,12.0,839,1038,1.0,0.0,0.0,18.691,2020,Renault,,0,1,12,1.0,0.0,80.747,80.23400000000001,
9,11.0,826,1038,1.0,0.0,0.0,22.208,2020,AlphaTauri,,0,1,11,1.0,0.0,80.307,80.169,
10,4.0,815,1038,1.0,0.0,0.0,23.224,2020,Racing Point,,0,1,4,1.0,1.0,80.048,79.718,79.72
11,20.0,849,1038,1.0,0.0,0.0,32.876,2020,Williams,,0,1,20,0.0,0.0,81.717,,
12,16.0,154,1038,1.0,0.0,0.0,35.164,2020,Haas,,0,1,16,0.0,0.0,81.139,,
13,14.0,8,1038,1.0,0.0,0.0,36.312,2020,Alfa Romeo,,0,1,14,1.0,0.0,81.01,80.926,
14,19.0,847,1038,1.0,0.0,0.0,36.593,2020,Williams,,0,1,19,0.0,0.0,81.587,,
15,9.0,848,1038,1.0,0.0,0.0,37.533,2020,Red Bull Racing,,0,1,9,1.0,1.0,81.104,80.064,80.09
16,18.0,841,1038,1.0,0.0,0.0,55.199,2020,Alfa Romeo,,0,1,18,0.0,0.0,81.206,,
NC,5.0,830,1038,0.0,1.0,,,2020,Red Bull Racing,,0,1,5,1.0,1.0,80.193,79.78,79.795
NC,13.0,844,1038,0.0,1.0,,,2020,Ferrari,,0,1,13,1.0,0.0,80.443,80.273,
NC,15.0,825,1038,0.0,1.0,,,2020,Haas,,0,1,15,1.0,0.0,80.869,81.57300000000001,
NC,17.0,20,1038,0.0,1.0,,,2020,Ferrari,,0,1,17,0.0,0.0,81.151,,
1,1.0,1,1039,1.0,0.0,0.0,0.0,2020,Mercedes,,0,1,1,1.0,1.0,75.778,75.309,75.144
2,2.0,822,1039,1.0,0.0,0.0,4.88,2020,Mercedes,,0,1,2,1.0,1.0,75.749,75.322,75.203
3,4.0,848,1039,1.0,0.0,0.0,8.064,2020,Red Bull Racing,,0,1,4,1.0,1.0,76.527,75.914,75.95400000000001
4,8.0,817,1039,1.0,0.0,0.0,10.417,2020,Renault,,0,1,8,1.0,1.0,76.981,76.243,76.543
5,7.0,815,1039,1.0,0.0,0.0,15.65,2020,Racing Point,,0,1,6,1.0,1.0,76.596,76.489,76.311
6,11.0,846,1039,1.0,0.0,0.0,18.883,2020,McLaren,,0,1,11,1.0,0.0,76.895,76.64,
7,12.0,826,1039,1.0,0.0,0.0,21.756,2020,AlphaTauri,,0,1,12,1.0,0.0,76.928,76.854,
8,5.0,844,1039,1.0,0.0,0.0,28.345,2020,Ferrari,,0,1,5,1.0,1.0,76.69800000000001,76.324,76.27
9,13.0,8,1039,1.0,0.0,0.0,29.77,2020,Alfa Romeo,,0,1,13,1.0,0.0,77.059,76.854,
10,14.0,20,1039,1.0,0.0,0.0,29.983,2020,Ferrari,,0,1,14,1.0,0.0,77.072,76.858,
11,18.0,847,1039,1.0,0.0,0.0,32.404,2020,Williams,,0,1,18,0.0,0.0,77.232,,
12,15.0,154,1039,1.0,0.0,0.0,42.036,2020,Haas,,0,1,15,1.0,0.0,77.069,77.254,
NC,6.0,840,1039,0.0,1.0,,,2020,Racing Point,,0,1,7,1.0,1.0,76.701,76.271,76.356
NC,10.0,839,1039,0.0,1.0,,,2020,Renault,,0,1,10,1.0,0.0,76.825,76.297,
NC,19.0,849,1039,0.0,1.0,,,2020,Williams,,0,1,19,0.0,0.0,77.32,,
NC,20.0,825,1039,0.0,1.0,,,2020,Haas,,0,1,20,0.0,0.0,77.348,,
NC,17.0,841,1039,0.0,1.0,,,2020,Alfa Romeo,,0,1,17,0.0,0.0,77.22,,
NC,9.0,832,1039,0.0,1.0,,,2020,McLaren,,0,1,9,1.0,1.0,76.993,76.52199999999999,77.87
NC,3.0,830,1039,0.0,1.0,,,2020,Red Bull Racing,,0,1,3,1.0,1.0,76.33500000000001,75.471,75.509
NC,16.0,842,1039,0.0,1.0,,,2020,AlphaTauri,,0,1,16,0.0,0.0,77.125,,
1,3.0,822,1040,1.0,0.0,0.0,0.0,2020,Mercedes,,0,1,3,1.0,1.0,92.656,92.405,91.956
2,2.0,830,1040,1.0,0.0,0.0,7.729,2020,Red Bull Racing,,0,1,2,1.0,1.0,93.63,93.157,91.867
3,1.0,1,1040,1.0,0.0,0.0,22.729,2020,Mercedes,,0,1,1,1.0,1.0,92.983,92.835,91.304
4,4.0,815,1040,1.0,0.0,0.0,30.558,2020,Racing Point,,0,1,4,1.0,1.0,93.704,93.038,92.317
5,5.0,817,1040,1.0,0.0,0.0,52.065,2020,Renault,,0,1,5,1.0,1.0,93.65,92.218,92.364
6,10.0,844,1040,1.0,0.0,0.0,62.186,2020,Ferrari,,0,1,11,1.0,0.0,94.071,93.239,
7,7.0,839,1040,1.0,0.0,0.0,68.006,2020,Renault,,0,1,7,1.0,1.0,93.557,93.196,92.624
8,11.0,826,1040,1.0,0.0,0.0,68.74,2020,AlphaTauri,,0,1,12,1.0,0.0,93.511,93.249,
9,9.0,842,1040,1.0,0.0,0.0,89.766,2020,AlphaTauri,,0,1,9,1.0,1.0,93.734,93.139,93.0
10,15.0,848,1040,1.0,0.0,0.0,97.86,2020,Red Bull Racing,,0,1,10,1.0,1.0,93.919,93.153,93.008
11,17.0,841,1040,1.0,0.0,1.0,,2020,Alfa Romeo,,0,1,17,0.0,0.0,94.594,,
12,18.0,825,1040,1.0,0.0,1.0,,2020,Haas,,0,1,18,0.0,0.0,94.681,,
13,14.0,20,1040,1.0,0.0,1.0,,2020,Ferrari,,0,1,15,1.0,0.0,94.134,93.609,
14,19.0,8,1040,1.0,0.0,1.0,,2020,Alfa Romeo,,0,1,20,0.0,0.0,95.267,,
15,8.0,846,1040,1.0,0.0,1.0,,2020,McLaren,,0,1,8,1.0,1.0,93.804,93.081,92.847
16,20.0,849,1040,1.0,0.0,1.0,,2020,Williams,,0,1,19,0.0,0.0,95.066,,
17,16.0,154,1040,1.0,0.0,1.0,,2020,Haas,,0,1,16,0.0,0.0,94.592,,
18,13.0,847,1040,1.0,0.0,1.0,,2020,Williams,,0,1,14,1.0,0.0,94.02,93.583,
NC,6.0,832,1040,0.0,1.0,,,2020,McLaren,,0,1,6,1.0,1.0,93.967,92.757,92.55
NC,12.0,840,1040,0.0,1.0,,,2020,Racing Point,,0,1,13,1.0,0.0,93.852,93.364,
1,2.0,1,1041,1.0,0.0,0.0,0.0,2020,Mercedes,,0,1,2,1.0,1.0,86.62,85.39,85.525
2,3.0,830,1041,1.0,0.0,0.0,4.47,2020,Red Bull Racing,,0,1,3,1.0,1.0,86.319,85.467,85.562
3,6.0,817,1041,1.0,0.0,0.0,14.631,2020,Renault,,0,1,6,1.0,1.0,86.836,86.096,86.223
4,9.0,815,1041,1.0,0.0,0.0,16.07,2020,Racing Point,,0,1,9,1.0,1.0,87.12,86.33,86.70400000000001
5,10.0,832,1041,1.0,0.0,0.0,21.905,2020,McLaren,,0,1,10,1.0,1.0,87.378,86.361,86.709
6,12.0,842,1041,1.0,0.0,0.0,22.766,2020,AlphaTauri,,0,1,12,1.0,0.0,87.072,86.776,
7,4.0,844,1041,1.0,0.0,0.0,30.841,2020,Ferrari,,0,1,4,1.0,1.0,86.857,86.24,86.035
8,20.0,807,1041,1.0,0.0,0.0,32.596,2020,Racing Point,,0,1,20,0.0,0.0,88.021,,
9,16.0,154,1041,1.0,0.0,0.0,39.081,2020,Haas,,0,1,16,0.0,0.0,87.55199999999999,,
10,14.0,841,1041,1.0,0.0,0.0,40.035,2020,Alfa Romeo,,0,1,14,1.0,0.0,87.532,86.936,
11,11.0,20,1041,1.0,0.0,0.0,40.81,2020,Ferrari,,0,1,11,1.0,0.0,87.107,86.738,
12,19.0,8,1041,1.0,0.0,0.0,41.476,2020,Alfa Romeo,,0,1,19,0.0,0.0,87.81700000000001,,
13,15.0,825,1041,1.0,0.0,0.0,49.585,2020,Haas,,0,1,15,1.0,0.0,87.231,87.125,
14,18.0,849,1041,1.0,0.0,0.0,54.449,2020,Williams,,0,1,18,0.0,0.0,87.812,,
15,13.0,826,1041,1.0,0.0,0.0,55.588,2020,AlphaTauri,,0,1,13,1.0,0.0,87.285,86.848,
NC,8.0,846,1041,0.0,1.0,,,2020,McLaren,,0,1,8,1.0,1.0,86.82900000000001,86.316,86.458
NC,5.0,848,1041,0.0,1.0,,,2020,Red Bull Racing,,0,1,5,1.0,1.0,87.126,86.285,86.047
NC,7.0,839,1041,0.0,1.0,,,2020,Renault,,0,1,7,1.0,1.0,87.086,86.364,86.242
NC,1.0,822,1041,0.0,1.0,,,2020,Mercedes,,0,1,1,1.0,1.0,86.57300000000001,85.971,85.269
NC,17.0,847,1041,0.0,1.0,,,2020,Williams,,0,1,17,0.0,0.0,87.564,,
1,1.0,1,1042,1.0,0.0,0.0,0.0,2020,Mercedes,,1,0,1,1.0,1.0,76.828,76.824,76.652
2,2.0,822,1042,1.0,0.0,0.0,25.592,2020,Mercedes,,1,0,2,1.0,1.0,76.945,76.46600000000001,76.754
3,3.0,830,1042,1.0,0.0,0.0,34.508,2020,Red Bull Racing,,1,0,3,1.0,1.0,76.879,77.038,76.904
4,4.0,844,1042,1.0,0.0,0.0,65.312,2020,Ferrari,,1,0,4,1.0,1.0,77.42099999999999,77.367,77.09
5,9.0,842,1042,1.0,0.0,1.0,,2020,AlphaTauri,,1,0,9,1.0,1.0,77.209,77.367,77.803
6,7.0,832,1042,1.0,0.0,1.0,,2020,McLaren,,1,0,7,1.0,1.0,77.627,77.18299999999999,77.52
7,5.0,815,1042,1.0,0.0,1.0,,2020,Racing Point,,1,0,5,1.0,1.0,77.37,77.129,77.223
8,11.0,839,1042,1.0,0.0,1.0,,2020,Renault,,1,0,11,1.0,0.0,77.775,77.614,
9,10.0,817,1042,1.0,0.0,1.0,,2020,Renault,,1,0,10,1.0,0.0,77.621,77.481,
10,15.0,20,1042,1.0,0.0,1.0,,2020,Ferrari,,1,0,15,1.0,0.0,77.446,77.919,
11,16.0,8,1042,1.0,0.0,1.0,,2020,Alfa Romeo,,1,0,16,0.0,0.0,78.201,,
12,6.0,848,1042,1.0,0.0,1.0,,2020,Red Bull Racing,,1,0,6,1.0,1.0,77.435,77.411,77.437
13,8.0,846,1042,1.0,0.0,1.0,,2020,McLaren,,1,0,8,1.0,1.0,77.547,77.321,77.525
14,14.0,847,1042,1.0,0.0,1.0,,2020,Williams,,1,0,14,1.0,0.0,77.931,77.788,
15,17.0,841,1042,1.0,0.0,1.0,,2020,Alfa Romeo,,1,0,17,0.0,0.0,78.32300000000001,,
16,19.0,825,1042,1.0,0.0,1.0,,2020,Haas,,1,0,19,0.0,0.0,78.508,,
17,18.0,154,1042,1.0,0.0,1.0,,2020,Haas,,1,0,18,0.0,0.0,78.364,,
18,20.0,849,1042,1.0,0.0,2.0,,2020,Williams,,1,0,20,0.0,0.0,78.777,,
19,13.0,826,1042,1.0,0.0,2.0,,2020,AlphaTauri,,1,0,13,1.0,0.0,77.84100000000001,77.72800000000001,
NC,12.0,840,1042,0.0,1.0,,,2020,Racing Point,,1,0,12,1.0,0.0,77.667,77.626,
1,2.0,1,1043,1.0,0.0,0.0,0.0,2020,Mercedes,,0,1,2,1.0,1.0,74.229,74.643,73.706
2,1.0,822,1043,1.0,0.0,0.0,5.783,2020,Mercedes,,0,1,1,1.0,1.0,74.221,74.58500000000001,73.609
3,5.0,817,1043,1.0,0.0,0.0,14.32,2020,Renault,,0,1,5,1.0,1.0,75.474,74.953,74.52
4,8.0,826,1043,1.0,0.0,0.0,15.141,2020,AlphaTauri,,0,1,8,1.0,1.0,75.412,75.022,74.696
5,7.0,844,1043,1.0,0.0,0.0,19.111,2020,Ferrari,,0,1,7,1.0,1.0,75.123,75.017,74.616
6,11.0,815,1043,1.0,0.0,0.0,19.652,2020,Racing Point,,0,1,11,1.0,0.0,75.407,75.061,
7,10.0,832,1043,1.0,0.0,0.0,20.23,2020,McLaren,,0,1,10,1.0,1.0,75.528,75.027,74.911
8,9.0,846,1043,1.0,0.0,0.0,21.131,2020,McLaren,,0,1,9,1.0,1.0,75.274,75.051,74.814
9,18.0,8,1043,1.0,0.0,0.0,22.224,2020,Alfa Romeo,,0,1,18,0.0,0.0,75.953,,
10,20.0,841,1043,1.0,0.0,0.0,26.398,2020,Alfa Romeo,,0,1,20,0.0,0.0,76.208,,
11,19.0,849,1043,1.0,0.0,0.0,27.135,2020,Williams,,0,1,19,0.0,0.0,75.987,,
12,14.0,20,1043,1.0,0.0,0.0,28.453,2020,Ferrari,,0,1,14,1.0,0.0,75.571,75.385,
13,15.0,840,1043,1.0,0.0,0.0,29.163,2020,Racing Point,,0,1,15,1.0,0.0,75.822,75.494,
14,16.0,154,1043,1.0,0.0,0.0,32.935,2020,Haas,,0,1,16,0.0,0.0,75.918,,
15,6.0,848,1043,1.0,0.0,0.0,57.284,2020,Red Bull Racing,,0,1,6,1.0,1.0,75.402,74.745,74.572
NC,13.0,847,1043,0.0,1.0,,,2020,Williams,,0,1,13,1.0,0.0,75.76,75.32300000000001,
NC,3.0,830,1043,0.0,1.0,,,2020,Red Bull Racing,,0,1,3,1.0,1.0,75.034,74.974,74.176
NC,17.0,825,1043,0.0,1.0,,,2020,Haas,,0,1,17,0.0,0.0,75.939,,
NC,12.0,839,1043,0.0,1.0,,,2020,Renault,,0,1,12,1.0,0.0,75.352,75.201,
NC,4.0,842,1043,0.0,1.0,,,2020,AlphaTauri,,0,1,4,1.0,1.0,75.18299999999999,74.681,74.502
1,6.0,1,1044,1.0,0.0,0.0,0.0,2020,Mercedes,,0,1,6,1.0,1.0,127.599,112.709,112.56
2,3.0,815,1044,1.0,0.0,0.0,31.633,2020,Racing Point,,0,1,3,1.0,1.0,127.614,114.097,109.321
3,11.0,20,1044,1.0,0.0,0.0,31.96,2020,Ferrari,,0,1,12,1.0,0.0,123.356,115.169,
4,12.0,844,1044,1.0,0.0,0.0,33.858,2020,Ferrari,,0,1,14,1.0,0.0,124.464,116.696,
5,15.0,832,1044,1.0,0.0,0.0,34.363,2020,McLaren,,0,1,13,1.0,0.0,127.489,115.41,
6,2.0,830,1044,1.0,0.0,0.0,44.873,2020,Red Bull Racing,,0,1,2,1.0,1.0,117.485,110.293,108.055
7,4.0,848,1044,1.0,0.0,0.0,46.484,2020,Red Bull Racing,,0,1,4,1.0,1.0,119.431,112.282,110.448
8,14.0,846,1044,1.0,0.0,0.0,61.259,2020,McLaren,,0,1,11,1.0,0.0,127.167,114.945,
9,1.0,840,1044,1.0,0.0,0.0,72.353,2020,Racing Point,,0,1,1,1.0,1.0,127.467,113.372,107.765
10,5.0,817,1044,1.0,0.0,0.0,95.46,2020,Renault,,0,1,5,1.0,1.0,125.598,114.278,111.595
11,7.0,839,1044,1.0,0.0,1.0,,2020,Renault,,0,1,7,1.0,1.0,126.115,113.657,112.622
12,16.0,826,1044,1.0,0.0,1.0,,2020,AlphaTauri,,0,1,17,0.0,0.0,129.07,,
13,19.0,842,1044,1.0,0.0,1.0,,2020,AlphaTauri,,0,1,15,1.0,0.0,125.579,118.556,
14,9.0,822,1044,1.0,0.0,1.0,,2020,Mercedes,,0,1,9,1.0,1.0,127.001,113.767,113.258
15,8.0,8,1044,1.0,0.0,1.0,,2020,Alfa Romeo,,0,1,8,1.0,1.0,121.249,113.793,112.745
16,20.0,847,1044,1.0,0.0,1.0,,2020,Williams,,0,1,18,0.0,0.0,130.017,,
17,13.0,825,1044,0.0,1.0,,,2020,Haas,,0,1,16,0.0,0.0,128.007,,
NC,17.0,154,1044,0.0,1.0,,,2020,Haas,,0,1,19,0.0,0.0,132.909,,
NC,18.0,849,1044,0.0,1.0,,,2020,Williams,,0,1,20,0.0,0.0,141.611,,
NC,10.0,841,1044,0.0,1.0,,,2020,Alfa Romeo,,0,1,10,1.0,1.0,127.341,113.431,117.226
1,1.0,1,1045,1.0,0.0,0.0,0.0,2020,Mercedes,,0,1,1,1.0,1.0,88.343,87.586,87.264
2,3.0,830,1045,1.0,0.0,0.0,1.254,2020,Red Bull Racing,,0,1,3,1.0,1.0,88.885,88.025,87.678
3,4.0,848,1045,1.0,0.0,0.0,8.005,2020,Red Bull Racing,,0,1,4,1.0,1.0,88.732,88.749,88.274
4,9.0,846,1045,1.0,0.0,0.0,11.337,2020,McLaren,,0,1,9,1.0,1.0,89.464,88.877,88.542
5,15.0,832,1045,1.0,0.0,0.0,11.787,2020,McLaren,,0,1,15,0.0,0.0,88.975,,
6,8.0,842,1045,1.0,0.0,0.0,11.942,2020,AlphaTauri,,0,1,8,1.0,1.0,88.971,89.008,88.44800000000001
7,6.0,817,1045,1.0,0.0,0.0,19.368,2020,Renault,,0,1,6,1.0,1.0,89.005,88.648,88.417
8,2.0,822,1045,1.0,0.0,0.0,19.68,2020,Mercedes,,0,1,2,1.0,1.0,88.767,88.063,87.553
9,7.0,839,1045,1.0,0.0,0.0,22.803,2020,Renault,,0,1,7,1.0,1.0,89.203,88.937,88.419
10,12.0,844,1045,1.0,0.0,1.0,,2020,Ferrari,,0,1,12,1.0,0.0,89.137,89.16499999999999,
11,10.0,826,1045,1.0,0.0,1.0,,2020,AlphaTauri,,0,1,10,1.0,1.0,89.158,88.944,88.618
12,14.0,847,1045,1.0,0.0,1.0,,2020,Williams,,0,1,14,1.0,0.0,89.294,91.218,
13,11.0,20,1045,1.0,0.0,1.0,,2020,Ferrari,,0,1,11,1.0,0.0,89.142,89.149,
14,20.0,849,1045,1.0,0.0,1.0,,2020,Williams,,0,1,20,0.0,0.0,90.182,,
15,17.0,8,1045,1.0,0.0,1.0,,2020,Alfa Romeo,,0,1,17,0.0,0.0,89.81,,
16,16.0,841,1045,1.0,0.0,1.0,,2020,Alfa Romeo,,0,1,16,0.0,0.0,89.491,,
17,18.0,825,1045,1.0,0.0,1.0,,2020,Haas,,0,1,18,0.0,0.0,90.111,,
18,5.0,815,1045,0.0,1.0,,,2020,Racing Point,,0,1,5,1.0,1.0,89.178,88.894,88.322
NC,13.0,840,1045,0.0,1.0,,,2020,Racing Point,,0,1,13,1.0,0.0,88.679,89.557,
NC,19.0,154,1045,0.0,1.0,,,2020,Haas,,0,1,19,0.0,0.0,90.138,,
1,5.0,815,1046,1.0,0.0,0.0,0.0,2020,Racing Point,,0,1,5,1.0,1.0,54.236,53.787,53.79
2,11.0,839,1046,1.0,0.0,0.0,10.518,2020,Renault,,0,1,11,1.0,0.0,54.309,53.995,
3,10.0,840,1046,1.0,0.0,0.0,11.869,2020,Racing Point,,0,1,10,1.0,1.0,54.595,53.84,54.2
4,8.0,832,1046,1.0,0.0,0.0,12.58,2020,McLaren,,0,1,8,1.0,1.0,54.45,53.818,54.01
5,7.0,817,1046,1.0,0.0,0.0,13.33,2020,Renault,,0,1,7,1.0,1.0,54.388,53.871,53.957
6,12.0,848,1046,1.0,0.0,0.0,13.842,2020,Red Bull Racing,,0,1,12,1.0,0.0,54.62,54.026,
7,6.0,826,1046,1.0,0.0,0.0,14.534,2020,AlphaTauri,,0,1,6,1.0,1.0,54.346,53.856,53.906
8,1.0,822,1046,1.0,0.0,0.0,15.389,2020,Mercedes,,0,1,1,1.0,1.0,53.904,53.803,53.377
9,2.0,847,1046,1.0,0.0,0.0,18.556,2020,Williams,,0,1,2,1.0,1.0,54.16,53.819,53.403
10,15.0,846,1046,1.0,0.0,0.0,19.541,2020,McLaren,,0,1,15,1.0,0.0,54.194,54.693,
11,9.0,842,1046,1.0,0.0,0.0,20.527,2020,AlphaTauri,,0,1,9,1.0,1.0,54.207,53.941,54.154
12,13.0,20,1046,1.0,0.0,0.0,22.611,2020,Ferrari,,0,1,13,1.0,0.0,54.301,54.175,
13,14.0,841,1046,1.0,0.0,0.0,24.111,2020,Alfa Romeo,,0,1,14,1.0,0.0,54.523,54.377,
14,19.0,8,1046,1.0,0.0,0.0,26.153,2020,Alfa Romeo,,0,1,19,0.0,0.0,54.963,,
15,16.0,825,1046,1.0,0.0,0.0,32.37,2020,Haas,,0,1,16,0.0,0.0,54.705,,
16,18.0,851,1046,1.0,0.0,0.0,33.674,2020,Williams,,0,1,18,0.0,0.0,54.892,,
17,20.0,850,1046,1.0,0.0,0.0,36.858,2020,Haas,,0,1,20,0.0,0.0,55.426,,
NC,17.0,849,1046,0.0,1.0,,,2020,Williams,,0,1,17,0.0,0.0,54.796,,
NC,3.0,830,1046,0.0,1.0,,,2020,Red Bull Racing,,0,1,3,1.0,1.0,54.037,53.647,53.433
NC,4.0,844,1046,0.0,1.0,,,2020,Ferrari,,0,1,4,1.0,1.0,54.249,53.825,53.613
1,1.0,830,1047,1.0,0.0,0.0,0.0,2020,Red Bull Racing,,0,1,1,1.0,1.0,95.993,95.641,95.246
2,2.0,822,1047,1.0,0.0,0.0,15.976,2020,Mercedes,,0,1,2,1.0,1.0,95.699,95.527,95.271
3,3.0,1,1047,1.0,0.0,0.0,18.415,2020,Mercedes,,0,1,3,1.0,1.0,95.528,95.466,95.332
4,5.0,848,1047,1.0,0.0,0.0,19.987,2020,Red Bull Racing,,0,1,5,1.0,1.0,96.106,95.654,95.571
5,4.0,846,1047,1.0,0.0,0.0,60.729,2020,McLaren,,0,1,4,1.0,1.0,96.016,95.849,95.497
6,6.0,832,1047,1.0,0.0,0.0,65.662,2020,McLaren,,0,1,6,1.0,1.0,96.517,96.192,95.815
7,11.0,817,1047,1.0,0.0,0.0,73.748,2020,Renault,,0,1,12,1.0,0.0,96.704,96.406,
8,9.0,842,1047,1.0,0.0,0.0,89.718,2020,AlphaTauri,,0,1,10,1.0,1.0,96.545,96.282,96.242
9,10.0,839,1047,1.0,0.0,0.0,101.069,2020,Renault,,0,1,11,1.0,0.0,96.783,96.359,
10,8.0,840,1047,1.0,0.0,0.0,102.738,2020,Racing Point,,0,1,8,1.0,1.0,96.502,96.143,96.046
11,7.0,826,1047,1.0,0.0,1.0,,2020,AlphaTauri,,0,1,7,1.0,1.0,96.459,96.214,95.963
12,15.0,8,1047,1.0,0.0,1.0,,2020,Alfa Romeo,,0,1,16,0.0,0.0,97.555,,
13,12.0,844,1047,1.0,0.0,1.0,,2020,Ferrari,,0,1,9,1.0,1.0,95.881,95.932,96.065
14,13.0,20,1047,1.0,0.0,1.0,,2020,Ferrari,,0,1,13,1.0,0.0,96.655,96.631,
15,16.0,847,1047,1.0,0.0,1.0,,2020,Williams,,0,1,18,0.0,0.0,98.045,,
16,14.0,841,1047,1.0,0.0,1.0,,2020,Alfa Romeo,,0,1,14,1.0,0.0,97.075,98.248,
17,18.0,849,1047,1.0,0.0,1.0,,2020,Williams,,0,1,20,0.0,0.0,98.443,,
18,20.0,825,1047,1.0,0.0,1.0,,2020,Haas,,0,1,17,0.0,0.0,97.863,,
19,17.0,850,1047,1.0,0.0,2.0,,2020,Haas,,0,1,19,0.0,0.0,98.173,,
NC,19.0,815,1047,0.0,1.0,,,2020,Racing Point,,0,1,15,0.0,0.0,96.034,,
1,2.0,1,1052,1.0,0.0,0.0,0.0,2021,Mercedes,,0,1,2.0,1.0,1.0,90.617,90.085,89.385
2,1.0,830,1052,1.0,0.0,0.0,0.745,2021,Red Bull Racing,,0,1,1.0,1.0,1.0,90.499,90.318,88.997
3,3.0,822,1052,1.0,0.0,0.0,37.383,2021,Mercedes,,0,1,3.0,1.0,1.0,91.2,90.186,89.586
4,7.0,846,1052,1.0,0.0,0.0,46.466,2021,McLaren,,0,1,7.0,1.0,1.0,90.902,90.099,89.974
5,11.0,815,1052,1.0,0.0,0.0,52.047,2021,Red Bull Racing,,0,1,11.0,1.0,0.0,91.165,90.659,
6,4.0,844,1052,1.0,0.0,0.0,59.09,2021,Ferrari,,0,1,4.0,1.0,1.0,90.691,90.01,89.678
7,6.0,817,1052,1.0,0.0,0.0,66.004,2021,McLaren,,0,1,6.0,1.0,1.0,90.795,90.222,89.92699999999999
8,8.0,832,1052,1.0,0.0,0.0,67.1,2021,Ferrari,,0,1,8.0,1.0,1.0,91.653,90.009,90.215
9,13.0,852,1052,1.0,0.0,0.0,85.692,2021,AlphaTauri,,0,1,13.0,1.0,0.0,90.607,91.203,
10,10.0,840,1052,1.0,0.0,0.0,86.713,2021,Aston Martin,,0,1,10.0,1.0,1.0,91.261,90.624,90.601
11,14.0,8,1052,1.0,0.0,0.0,88.864,2021,Alfa Romeo,,0,1,14.0,1.0,0.0,91.547,91.238,
12,12.0,841,1052,1.0,0.0,1.0,,2021,Alfa Romeo,,0,1,12.0,1.0,0.0,90.998,90.708,
13,16.0,839,1052,1.0,0.0,1.0,,2021,Alpine,,0,1,16.0,0.0,0.0,91.724,,
14,15.0,847,1052,1.0,0.0,1.0,,2021,Williams,,0,1,15.0,1.0,0.0,91.316,93.43,
15,20.0,20,1052,1.0,0.0,1.0,,2021,Aston Martin,,0,1,18.0,0.0,0.0,92.056,,
16,18.0,854,1052,1.0,0.0,1.0,,2021,Haas,,0,1,19.0,0.0,0.0,92.449,,
17,5.0,842,1052,0.0,1.0,,,2021,AlphaTauri,,0,1,5.0,1.0,1.0,90.848,90.513,89.809
18,17.0,849,1052,0.0,1.0,,,2021,Williams,,0,1,17.0,0.0,0.0,91.936,,
NC,9.0,4,1052,0.0,1.0,,,2021,Alpine,,0,1,9.0,1.0,1.0,90.863,90.595,90.249
NC,19.0,853,1052,0.0,1.0,,,2021,Haas,,0,1,20.0,0.0,0.0,93.273,,
1,2.0,830,1053,1.0,0.0,0.0,0.0,2021,Red Bull Racing,,0,1,3.0,1.0,1.0,75.109,74.884,74.498
