Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
1,2,822,1010,1.0,0.0,0.0,0.0
2,1,1,1010,1.0,0.0,0.0,20.886
3,4,830,1010,1.0,0.0,0.0,22.52
4,3,20,1010,1.0,0.0,0.0,57.109
5,5,844,1010,1.0,0.0,0.0,58.23
6,7,825,1010,1.0,0.0,0.0,87.156
7,11,807,1010,1.0,0.0,1.0,
8,9,8,1010,1.0,0.0,1.0,
9,16,840,1010,1.0,0.0,1.0,
10,15,826,1010,1.0,0.0,1.0,
11,17,842,1010,1.0,0.0,1.0,
12,8,846,1010,1.0,0.0,1.0,
13,10,815,1010,1.0,0.0,1.0,
14,13,848,1010,1.0,0.0,1.0,
15,14,841,1010,1.0,0.0,1.0,
16,19,847,1010,1.0,0.0,2.0,
17,20,9,1010,1.0,0.0,3.0,
NC,6,154,1010,0.0,1.0,,
NC,12,817,1010,0.0,1.0,,
NC,18,832,1010,0.0,1.0,,
1,3,1,1011,1.0,0.0,0.0,0.0
2,4,822,1011,1.0,0.0,0.0,2.98
3,1,844,1011,1.0,0.0,0.0,6.131
4,5,830,1011,1.0,0.0,0.0,6.408
5,2,20,1011,1.0,0.0,0.0,36.068
6,9,846,1011,1.0,0.0,0.0,45.754
7,8,8,1011,1.0,0.0,0.0,47.47
8,13,842,1011,1.0,0.0,0.0,58.094
9,12,848,1011,1.0,0.0,0.0,62.697
10,14,815,1011,1.0,0.0,0.0,63.696
11,16,841,1011,1.0,0.0,0.0,64.599
12,15,826,1011,1.0,0.0,1.0,
13,6,825,1011,1.0,0.0,1.0,
14,18,840,1011,1.0,0.0,1.0,
15,19,847,1011,1.0,0.0,1.0,
16,20,9,1011,1.0,0.0,2.0,
17,17,807,1011,0.0,1.0,,
18,10,817,1011,0.0,1.0,,
19,7,832,1011,0.0,1.0,,
NC,11,154,1011,0.0,1.0,,
1,2,1,1012,1.0,0.0,0.0,0.0
2,1,822,1012,1.0,0.0,0.0,6.552
3,3,20,1012,1.0,0.0,0.0,13.744
4,5,830,1012,1.0,0.0,0.0,27.627
5,4,844,1012,1.0,0.0,0.0,31.276
6,6,842,1012,1.0,0.0,0.0,89.307
7,7,817,1012,1.0,0.0,1.0,
8,12,815,1012,1.0,0.0,1.0,
9,13,8,1012,1.0,0.0,1.0,
10,20,848,1012,1.0,0.0,1.0,
11,10,154,1012,1.0,0.0,1.0,
12,16,840,1012,1.0,0.0,1.0,
13,9,825,1012,1.0,0.0,1.0,
14,14,832,1012,1.0,0.0,1.0,
15,19,841,1012,1.0,0.0,1.0,
16,17,847,1012,1.0,0.0,2.0,
17,18,9,1012,1.0,0.0,2.0,
18,15,846,1012,0.0,1.0,,
NC,11,826,1012,0.0,1.0,,
NC,8,807,1012,0.0,1.0,,
1,1,822,1013,1.0,0.0,0.0,0.0
2,2,1,1013,1.0,0.0,0.0,1.524
3,3,20,1013,1.0,0.0,0.0,11.739
4,4,830,1013,1.0,0.0,0.0,17.493
5,8,844,1013,1.0,0.0,0.0,69.107
6,5,815,1013,1.0,0.0,0.0,76.416
7,9,832,1013,1.0,0.0,0.0,83.826
8,7,846,1013,1.0,0.0,0.0,100.268
9,13,840,1013,1.0,0.0,0.0,103.816
10,19,8,1013,1.0,0.0,1.0,
11,11,848,1013,1.0,0.0,1.0,
12,17,841,1013,1.0,0.0,1.0,
13,12,825,1013,1.0,0.0,1.0,
14,15,807,1013,1.0,0.0,1.0,
15,16,847,1013,1.0,0.0,2.0,
16,18,9,1013,1.0,0.0,2.0,
NC,20,842,1013,0.0,1.0,,
NC,14,154,1013,0.0,1.0,,
NC,6,826,1013,0.0,1.0,,
NC,10,817,1013,0.0,1.0,,
1,2,1,1014,1.0,0.0,0.0,0.0
2,1,822,1014,1.0,0.0,0.0,4.074
