Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
1,1,822,1031,1.0,0.0,0.0,0.0
2,7,844,1031,1.0,0.0,0.0,2.7
3,3,846,1031,1.0,0.0,0.0,5.491
4,5,1,1031,1.0,0.0,0.0,5.689
5,8,832,1031,1.0,0.0,0.0,8.903
6,6,815,1031,1.0,0.0,0.0,15.092
7,12,842,1031,1.0,0.0,0.0,16.682
8,14,839,1031,1.0,0.0,0.0,17.456
9,18,841,1031,1.0,0.0,0.0,21.146
10,11,20,1031,1.0,0.0,0.0,24.545
11,20,849,1031,1.0,0.0,0.0,31.65
12,13,826,1031,0.0,1.0,,
13,4,848,1031,0.0,1.0,,
NC,19,8,1031,0.0,1.0,,
NC,17,847,1031,0.0,1.0,,
NC,15,154,1031,0.0,1.0,,
NC,16,825,1031,0.0,1.0,,
NC,9,840,1031,0.0,1.0,,
NC,10,817,1031,0.0,1.0,,
NC,2,830,1031,0.0,1.0,,
1,1,1,1032,1.0,0.0,0.0,0.0
2,4,822,1032,1.0,0.0,0.0,13.719
3,2,830,1032,1.0,0.0,0.0,33.698
4,6,848,1032,1.0,0.0,0.0,44.4
5,9,846,1032,1.0,0.0,0.0,61.47
6,17,815,1032,1.0,0.0,0.0,62.387
7,12,840,1032,1.0,0.0,0.0,62.453
8,8,817,1032,1.0,0.0,0.0,62.591
9,3,832,1032,1.0,0.0,1.0,
10,13,826,1032,1.0,0.0,1.0,
11,16,8,1032,1.0,0.0,1.0,
12,15,825,1032,1.0,0.0,1.0,
13,20,154,1032,1.0,0.0,1.0,
14,19,841,1032,1.0,0.0,1.0,
15,7,842,1032,1.0,0.0,1.0,
16,11,847,1032,1.0,0.0,2.0,
17,18,849,1032,1.0,0.0,2.0,
NC,5,839,1032,0.0,1.0,,
NC,14,844,1032,0.0,1.0,,
NC,10,20,1032,0.0,1.0,,
1,1,1,1033,1.0,0.0,0.0,0.0
2,7,830,1033,1.0,0.0,0.0,8.702
3,2,822,1033,1.0,0.0,0.0,9.452
4,3,840,1033,1.0,0.0,0.0,57.579
5,13,848,1033,1.0,0.0,0.0,78.316
6,5,20,1033,1.0,0.0,1.0,
7,4,815,1033,1.0,0.0,1.0,
8,11,817,1033,1.0,0.0,1.0,
