Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
5,8.0,846,1059,1.0,0.0,0.0,64.032
6,10.0,817,1059,1.0,0.0,0.0,75.857
7,6.0,842,1059,1.0,0.0,0.0,76.596
8,9.0,4,1059,1.0,0.0,0.0,77.695
9,12.0,20,1059,1.0,0.0,0.0,79.666
10,19.0,840,1059,1.0,0.0,0.0,91.946
11,5.0,832,1059,1.0,0.0,0.0,99.337
12,14.0,847,1059,1.0,0.0,1.0,
13,20.0,852,1059,1.0,0.0,1.0,
14,11.0,839,1059,1.0,0.0,1.0,
15,13.0,841,1059,1.0,0.0,1.0,
16,7.0,844,1059,1.0,0.0,1.0,
17,17.0,8,1059,1.0,0.0,1.0,
18,16.0,849,1059,1.0,0.0,1.0,
19,15.0,854,1059,1.0,0.0,1.0,
20,18.0,853,1059,1.0,0.0,1.0,
1,1.0,830,1058,1.0,0.0,0.0,0.0
2,2.0,1,1058,1.0,0.0,0.0,35.743
3,5.0,822,1058,1.0,0.0,0.0,46.907
4,4.0,815,1058,1.0,0.0,0.0,47.434
5,3.0,846,1058,1.0,0.0,1.0,
6,12.0,832,1058,1.0,0.0,1.0,
7,7.0,844,1058,1.0,0.0,1.0,
8,9.0,840,1058,1.0,0.0,1.0,
9,8.0,4,1058,1.0,0.0,1.0,
10,11.0,852,1058,1.0,0.0,1.0,
11,18.0,8,1058,1.0,0.0,1.0,
12,14.0,20,1058,1.0,0.0,1.0,
13,13.0,817,1058,1.0,0.0,1.0,
14,17.0,839,1058,1.0,0.0,1.0,
15,15.0,841,1058,1.0,0.0,1.0,
16,19.0,854,1058,1.0,0.0,2.0,
17,16.0,849,1058,1.0,0.0,3.0,
18,20.0,853,1058,1.0,0.0,3.0,
NC,10.0,847,1058,0.0,1.0,,
NC,6.0,842,1058,0.0,1.0,,
1,1.0,830,1060,1.0,0.0,0.0,0.0
2,5.0,822,1060,1.0,0.0,0.0,17.973
3,2.0,846,1060,1.0,0.0,0.0,20.019
4,4.0,1,1060,1.0,0.0,0.0,46.452
5,10.0,832,1060,1.0,0.0,0.0,57.144
6,3.0,815,1060,1.0,0.0,0.0,57.915
7,13.0,817,1060,1.0,0.0,0.0,60.395
8,12.0,844,1060,1.0,0.0,0.0,61.195
9,6.0,842,1060,1.0,0.0,0.0,61.844
10,14.0,4,1060,1.0,0.0,1.0,
11,8.0,847,1060,1.0,0.0,1.0,
12,7.0,852,1060,1.0,0.0,1.0,
13,9.0,840,1060,1.0,0.0,1.0,
14,15.0,841,1060,1.0,0.0,1.0,
15,16.0,8,1060,1.0,0.0,1.0,
16,18.0,849,1060,1.0,0.0,1.0,
17,11.0,20,1060,0.0,1.0,,
18,19.0,854,1060,1.0,0.0,2.0,
19,20.0,853,1060,1.0,0.0,2.0,
NC,17.0,839,1060,0.0,1.0,,
1,2.0,1,1061,1.0,0.0,0.0,0.0
2,4.0,844,1061,1.0,0.0,0.0,3.871
3,3.0,822,1061,1.0,0.0,0.0,11.215
4,5.0,846,1061,1.0,0.0,0.0,28.573
5,6.0,817,1061,1.0,0.0,0.0,42.624
6,10.0,832,1061,1.0,0.0,0.0,43.454
7,7.0,4,1061,1.0,0.0,0.0,72.093
8,14.0,840,1061,1.0,0.0,0.0,74.289
9,9.0,839,1061,1.0,0.0,0.0,76.162
10,,852,1061,1.0,0.0,0.0,82.065
11,11.0,842,1061,1.0,0.0,0.0,85.327
12,12.0,847,1061,1.0,0.0,1.0,
13,15.0,841,1061,1.0,0.0,1.0,
14,17.0,849,1061,1.0,0.0,1.0,
15,13.0,8,1061,1.0,0.0,1.0,
16,20.0,815,1061,1.0,0.0,1.0,
17,19.0,853,1061,1.0,0.0,1.0,
18,18.0,854,1061,1.0,0.0,1.0,
NC,8.0,20,1061,0.0,1.0,,
NC,1.0,830,1061,0.0,1.0,,
1,8.0,839,1062,1.0,0.0,0.0,0.0
DQ,10.0,20,1062,1.0,0.0,0.0,1.859
2,1.0,1,1062,1.0,0.0,0.0,2.736
3,15.0,832,1062,1.0,0.0,0.0,15.018
4,9.0,4,1062,1.0,0.0,0.0,15.651
5,5.0,842,1062,1.0,0.0,0.0,63.614
6,16.0,852,1062,1.0,0.0,0.0,75.803
7,18.0,849,1062,1.0,0.0,0.0,77.91
8,17.0,847,1062,1.0,0.0,0.0,79.094
9,3.0,830,1062,1.0,0.0,0.0,80.244
10,13.0,8,1062,1.0,0.0,1.0,
11,11.0,817,1062,1.0,0.0,1.0,
12,20.0,854,1062,1.0,0.0,1.0,
13,14.0,841,1062,1.0,0.0,1.0,
NC,19.0,853,1062,0.0,1.0,,
NC,6.0,846,1062,0.0,1.0,,
NC,2.0,822,1062,0.0,1.0,,
NC,4.0,815,1062,0.0,1.0,,
NC,7.0,844,1062,0.0,1.0,,
NC,12.0,840,1062,0.0,1.0,,
1,1.0,830,1063,1.0,0.0,0.0,0.0
2,2.0,847,1063,1.0,0.0,0.0,1.995
3,3.0,1,1063,1.0,0.0,0.0,2.601
4,4.0,817,1063,1.0,0.0,0.0,4.496
5,5.0,20,1063,1.0,0.0,0.0,7.479
6,6.0,842,1063,1.0,0.0,0.0,10.177
7,8.0,839,1063,1.0,0.0,0.0,11.579
8,9.0,844,1063,1.0,0.0,0.0,12.608
9,10.0,849,1063,1.0,0.0,0.0,15.484
10,11.0,832,1063,1.0,0.0,0.0,16.166
11,12.0,4,1063,1.0,0.0,0.0,20.59
12,13.0,822,1063,1.0,0.0,0.0,22.414
13,14.0,841,1063,1.0,0.0,0.0,24.163
14,15.0,846,1063,1.0,0.0,0.0,27.109
15,16.0,852,1063,1.0,0.0,0.0,28.329
16,17.0,854,1063,1.0,0.0,0.0,29.507
17,18.0,853,1063,1.0,0.0,0.0,31.993
18,20.0,8,1063,1.0,0.0,0.0,36.054
19,7.0,815,1063,1.0,0.0,0.0,38.205
20,19.0,840,1063,1.0,0.0,0.0,44.108
1,1.0,830,1064,1.0,0.0,0.0,0.0
2,2.0,1,1064,1.0,0.0,0.0,20.932
3,3.0,822,1064,1.0,0.0,0.0,56.46
4,4.0,842,1064,1.0,0.0,1.0,
5,5.0,844,1064,1.0,0.0,1.0,
6,9.0,4,1064,1.0,0.0,1.0,
7,6.0,832,1064,1.0,0.0,1.0,
8,20.0,815,1064,1.0,0.0,1.0,
9,8.0,839,1064,1.0,0.0,1.0,
10,13.0,846,1064,1.0,0.0,1.0,
11,10.0,817,1064,1.0,0.0,1.0,
12,12.0,840,1064,1.0,0.0,2.0,
13,15.0,20,1064,1.0,0.0,2.0,
14,7.0,841,1064,1.0,0.0,2.0,
15,16.0,9,1064,1.0,0.0,2.0,
16,19.0,849,1064,1.0,0.0,2.0,
17,11.0,847,1064,0.0,1.0,,
18,17.0,854,1064,1.0,0.0,3.0,
NC,14.0,852,1064,0.0,1.0,,
NC,18.0,853,1064,0.0,1.0,,
1,2.0,817,1065,1.0,0.0,0.0,0.0
2,3.0,846,1065,1.0,0.0,0.0,1.747
3,19.0,822,1065,1.0,0.0,0.0,4.921
4,5.0,844,1065,1.0,0.0,0.0,7.309
5,8.0,815,1065,1.0,0.0,0.0,8.723
6,6.0,832,1065,1.0,0.0,0.0,10.535
7,9.0,840,1065,1.0,0.0,0.0,15.804
8,10.0,4,1065,1.0,0.0,0.0,17.201
9,14.0,847,1065,1.0,0.0,0.0,19.742
10,12.0,839,1065,1.0,0.0,0.0,20.868
11,13.0,849,1065,1.0,0.0,0.0,23.743
12,11.0,20,1065,1.0,0.0,0.0,24.601
13,7.0,841,1065,1.0,0.0,0.0,27.216
14,17.0,9,1065,1.0,0.0,0.0,29.769
15,18.0,854,1065,1.0,0.0,0.0,51.088
NC,16.0,853,1065,0.0,1.0,,
NC,4.0,1,1065,0.0,1.0,,
NC,1.0,830,1065,0.0,1.0,,
NC,20.0,842,1065,0.0,1.0,,
NC,15.0,852,1065,0.0,1.0,,
1,4.0,1,1066,1.0,0.0,0.0,0.0
2,20.0,830,1066,1.0,0.0,0.0,53.271
3,2.0,832,1066,1.0,0.0,0.0,62.475
4,5.0,817,1066,1.0,0.0,0.0,65.607
5,16.0,822,1066,1.0,0.0,0.0,67.533
6,6.0,4,1066,1.0,0.0,0.0,81.321
7,1.0,846,1066,1.0,0.0,0.0,87.224
8,13.0,8,1066,1.0,0.0,0.0,88.955
9,8.0,815,1066,1.0,0.0,0.0,90.076
10,3.0,847,1066,1.0,0.0,0.0,100.551
11,7.0,840,1066,1.0,0.0,0.0,116.198
12,10.0,20,1066,1.0,0.0,1.0,
13,11.0,842,1066,1.0,0.0,1.0,
14,9.0,839,1066,1.0,0.0,1.0,
15,19.0,844,1066,1.0,0.0,1.0,
16,17.0,841,1066,1.0,0.0,1.0,
17,12.0,852,1066,1.0,0.0,1.0,
18,15.0,853,1066,1.0,0.0,2.0,
19,18.0,849,1066,0.0,1.0,,
NC,14.0,854,1066,0.0,1.0,,
1,1.0,822,1067,1.0,0.0,0.0,0.0
2,2.0,830,1067,1.0,0.0,0.0,14.584
3,6.0,815,1067,1.0,0.0,0.0,33.471
4,3.0,844,1067,1.0,0.0,0.0,37.814
5,11.0,1,1067,1.0,0.0,0.0,41.812
6,4.0,842,1067,1.0,0.0,0.0,44.292
7,7.0,846,1067,1.0,0.0,0.0,47.213
8,19.0,832,1067,1.0,0.0,0.0,51.526
9,8.0,840,1067,1.0,0.0,0.0,82.018
10,12.0,839,1067,1.0,0.0,1.0,
11,16.0,841,1067,1.0,0.0,1.0,
12,17.0,8,1067,1.0,0.0,1.0,
13,20.0,817,1067,1.0,0.0,1.0,
14,9.0,852,1067,1.0,0.0,1.0,
15,13.0,847,1067,1.0,0.0,1.0,
16,5.0,4,1067,1.0,0.0,1.0,
17,15.0,849,1067,1.0,0.0,1.0,
18,10.0,20,1067,1.0,0.0,1.0,
19,14.0,854,1067,1.0,0.0,2.0,
20,18.0,853,1067,1.0,0.0,2.0,
1,1.0,830,1069,1.0,0.0,0.0,0.0
2,2.0,1,1069,1.0,0.0,0.0,1.333
3,3.0,815,1069,1.0,0.0,0.0,42.223
4,4.0,844,1069,1.0,0.0,0.0,52.246
5,6.0,817,1069,1.0,0.0,0.0,76.854
6,9.0,822,1069,1.0,0.0,0.0,80.128
