kaggle_driver_id,Driver,Team
830,Max Verstappen,Red Bull Racing
844,Charles Leclerc,Ferrari
815,Sergio Perez,Red Bull Racing
847,George Russell,Mercedes
832,Carlos Sainz,Ferrari
1,Lewis Hamilton,Mercedes
846,Lando Norris,McLaren
839,Esteban Ocon,Alpine
4,Fernando Alonso,Alpine
822,Valtteri Bottas,Alfa Romeo
817,Daniel Ricciardo,McLaren
20,Sebastian Vettel,Aston Martin
825,Kevin Magnussen,Haas F1 Team
842,Pierre Gasly,AlphaTauri
840,Lance Stroll,Aston Martin
854,Mick Schumacher,Haas F1 Team
852,Yuki Tsunoda,AlphaTauri
855,Guanyu Zhou,Alfa Romeo
848,Alexander Albon,Williams
849,Nicholas Latifi,Williams
856,Nyck De Vries,Williams
807,Nico Hulkenberg,Aston Martin
