resultId,raceId,driverId,position,time,milliseconds,fastestLapTime,fastestLapSpeed
23917,995,838,16,\N,\N,1:15.765,207.214
23918,995,845,17,\N,\N,1:15.924,206.780
23919,995,4,\N,\N,\N,1:16.180,206.085
23920,995,843,\N,\N,\N,\N,\N
23921,995,840,\N,\N,\N,\N,\N
23922,996,1,1,1:30:11.385,5411385,1:34.509,222.531
23923,996,830,2,+7.090,5418475,1:34.275,223.083
23924,996,8,3,+25.888,5437273,1:34.398,222.792
23925,996,817,4,+34.736,5446121,1:35.382,220.494
23926,996,20,5,+1:01.935,5473320,1:34.485,222.587
23927,996,825,6,+1:19.364,5490749,1:35.425,220.395
23928,996,822,7,+1:20.632,5492017,1:34.225,223.201
23929,996,832,8,+1:27.184,5498569,1:35.638,219.904
23930,996,807,9,+1:31.989,5503374,1:35.873,219.365
23931,996,844,10,+1:33.873,5505258,1:35.977,219.127
23932,996,154,11,\N,\N,1:35.695,219.773
23933,996,838,12,\N,\N,1:36.675,217.545
23934,996,828,13,\N,\N,1:36.494,217.953
23935,996,843,14,\N,\N,1:36.839,217.176
23936,996,845,15,\N,\N,1:38.300,213.949
23937,996,4,16,\N,\N,1:35.133,221.071
23938,996,840,17,\N,\N,1:38.319,213.907
23939,996,815,\N,\N,\N,1:38.319,213.907
23940,996,839,\N,\N,\N,\N,\N
23941,996,842,\N,\N,\N,\N,\N
23942,997,830,1,1:21:56.024,4916024,1:07.442,230.491
23943,997,8,2,+1.504,4917528,1:06.957,232.160
23944,997,20,3,+3.181,4919205,1:07.082,231.728
23945,997,154,4,\N,\N,1:09.071,225.055
23946,997,825,5,\N,\N,1:08.476,227.010
23947,997,839,6,\N,\N,1:08.850,225.777
23948,997,815,7,\N,\N,1:08.504,226.918
23949,997,4,8,\N,\N,1:08.661,226.399
23950,997,844,9,\N,\N,1:09.006,225.267
23951,997,828,10,\N,\N,1:08.216,227.876
23952,997,842,11,\N,\N,1:09.295,224.327
23953,997,832,12,\N,\N,1:08.766,226.053
23954,997,845,13,\N,\N,1:08.971,225.381
23955,997,840,14,\N,\N,1:09.203,224.626
23956,997,838,15,\N,\N,1:08.894,225.633
23957,997,1,\N,\N,\N,1:07.241,231.180
23958,997,843,\N,\N,\N,1:09.171,224.730
23959,997,817,\N,\N,\N,1:07.591,229.983
23960,997,822,\N,\N,\N,1:09.044,225.143
23961,997,807,\N,\N,\N,1:10.380,220.869
23962,998,20,1,1:27:29.784,5249784,1:30.696,233.831
23963,998,1,2,+2.264,5252048,1:31.245,232.424
23964,998,8,3,+3.652,5253436,1:30.795,233.576
23965,998,822,4,+8.883,5258667,1:31.377,232.089
23966,998,817,5,+9.500,5259284,1:31.589,231.551
23967,998,807,6,+28.220,5278004,1:33.405,227.049
23968,998,839,7,+29.930,5279714,1:33.606,226.562
23969,998,4,8,+31.115,5280899,1:33.482,226.862
23970,998,825,9,+33.188,5282972,1:33.604,226.567
23971,998,815,10,+34.708,5284492,1:33.472,226.887
23972,998,838,11,+35.774,5285558,1:33.551,226.695
23973,998,840,12,+38.106,5287890,1:33.869,225.927
23974,998,842,13,+39.129,5288913,1:33.465,226.904
23975,998,845,14,+48.113,5297897,1:34.620,224.134
23982,998,843,\N,\N,\N,\N,\N
23977,998,830,\N,\N,\N,1:32.007,230.499
23978,998,154,\N,\N,\N,1:34.391,224.678
23979,998,832,\N,\N,\N,1:34.602,224.177
23980,998,828,\N,\N,\N,1:33.675,226.395
23981,998,844,\N,\N,\N,1:35.209,222.747
23983,999,1,1,1:32:29.845,5549845,1:15.545,217.968
23984,999,822,2,+4.535,5554380,1:15.721,217.461
23985,999,8,3,+6.732,5556577,1:15.990,216.691
23986,999,830,4,+7.654,5557499,1:15.852,217.085
23987,999,807,5,+26.609,5576454,1:17.910,211.351
23988,999,154,6,+28.871,5578716,1:16.716,214.641
23989,999,815,7,+30.556,5580401,1:17.867,211.468
23990,999,839,8,+31.750,5581595,1:17.941,211.267
23991,999,828,9,+32.362,5582207,1:17.745,211.800
23992,999,843,10,+34.197,5584042,1:17.681,211.974
23993,999,825,11,+34.919,5584764,1:17.697,211.930
23994,999,832,12,+43.069,5592914,1:17.430,212.661
23995,999,838,13,+46.617,5596462,1:17.537,212.368
23996,999,842,14,\N,\N,1:17.762,211.753
23997,999,844,15,\N,\N,1:17.852,211.509
23998,999,4,16,\N,\N,1:17.741,211.811
23999,999,840,\N,\N,\N,1:18.861,208.802
24000,999,20,\N,\N,\N,1:17.290,213.046
24001,999,845,\N,\N,\N,1:18.934,208.609
24002,999,817,\N,\N,\N,1:18.262,210.400
24003,1000,1,1,1:37:16.427,5836427,1:21.107,194.454
24004,1000,20,2,+17.123,5853550,1:20.056,197.007
24005,1000,8,3,+20.101,5856528,1:20.292,196.428
24006,1000,817,4,+46.419,5882846,1:20.012,197.115
24007,1000,822,5,+50.000,5886427,1:21.736,192.957
24008,1000,842,6,+1:13.273,5909700,1:21.685,193.078
24009,1000,825,7,\N,\N,1:21.302,193.987
24010,1000,4,8,\N,\N,1:22.090,192.125
24011,1000,832,9,\N,\N,1:22.774,190.538
24012,1000,154,10,\N,\N,1:22.606,190.925
24013,1000,843,11,\N,\N,1:22.612,190.911
24014,1000,807,12,\N,\N,1:21.261,194.085
24015,1000,839,13,\N,\N,1:22.876,190.303
24016,1000,815,14,\N,\N,1:23.263,189.419
24017,1000,828,15,\N,\N,1:23.671,188.495
24018,1000,845,16,\N,\N,1:23.708,188.412
24019,1000,840,17,\N,\N,1:22.660,190.800
24020,1000,838,\N,\N,\N,1:23.077,189.843
24021,1000,830,\N,\N,\N,1:23.985,187.790
24022,1000,844,\N,\N,\N,\N,\N
24023,1001,20,1,1:23:34.476,5014476,1:46.644,236.435
24024,1001,1,2,+11.061,5025537,1:46.721,236.264
24025,1001,830,3,+31.372,5045848,1:46.946,235.767
24026,1001,822,4,+1:03.605,5078081,1:46.286,237.231
24027,1001,815,5,+1:11.023,5085499,1:48.080,233.293
24028,1001,839,6,+1:19.520,5093996,1:48.078,233.298
24029,1001,154,7,+1:25.953,5100429,1:48.283,232.856
24030,1001,825,8,+1:27.639,5102115,1:47.937,233.602
24031,1001,842,9,+1:45.892,5120368,1:48.588,232.202
24032,1001,828,10,\N,\N,1:48.694,231.976
24033,1001,832,11,\N,\N,1:48.670,232.027
24034,1001,845,12,\N,\N,1:49.113,231.085
24035,1001,840,13,\N,\N,1:49.287,230.717
24036,1001,843,14,\N,\N,1:48.756,231.843
24037,1001,838,15,\N,\N,1:48.956,231.418
24038,1001,817,\N,\N,\N,1:49.242,230.812
24039,1001,8,\N,\N,\N,1:54.320,220.559
24040,1001,844,\N,\N,\N,\N,\N
24041,1001,4,\N,\N,\N,\N,\N
24042,1001,807,\N,\N,\N,\N,\N
24043,1002,1,1,1:16:54.484,4614484,1:22.497,252.794
24044,1002,8,2,+8.705,4623189,1:23.515,249.713
24045,1002,822,3,+14.066,4628550,1:22.907,251.544
24046,1002,20,4,+16.151,4630635,1:22.505,252.770
24047,1002,830,5,+18.208,4632692,1:23.609,249.432
24048,1002,839,6,+57.761,4672245,1:24.243,247.555
24049,1002,815,7,+58.678,4673162,1:24.179,247.743
24050,1002,832,8,+1:18.140,4692624,1:23.529,249.671
24051,1002,840,9,\N,\N,1:24.056,248.106
24052,1002,845,10,\N,\N,1:24.580,246.568
24053,1002,844,11,\N,\N,1:23.768,248.959
24054,1002,838,12,\N,\N,1:24.504,246.790
24055,1002,807,13,\N,\N,1:24.772,246.010
24056,1002,842,14,\N,\N,1:24.059,248.097
24057,1002,828,15,\N,\N,1:24.767,246.024
24058,1002,825,16,\N,\N,1:23.768,248.959
24059,1002,817,\N,\N,\N,1:25.692,243.369
24060,1002,4,\N,\N,\N,1:25.229,244.691
24061,1002,843,\N,\N,\N,1:27.009,239.685
24062,1002,154,\N,+56.320,4670804,\N,\N
24063,1003,1,1,1:51:11.611,6671611,1:42.913,177.108
24064,1003,830,2,+8.961,6680572,1:43.345,176.368
24065,1003,20,3,+39.984,6711595,1:44.669,174.137
24066,1003,822,4,+51.930,6723541,1:44.720,174.052
24067,1003,8,5,+53.001,6724612,1:44.715,174.061
24068,1003,817,6,+53.982,6725593,1:43.120,176.753
24069,1003,4,7,+1:43.001,6774612,1:43.164,176.677
24070,1003,832,8,\N,\N,1:45.211,173.240
24071,1003,844,9,\N,\N,1:45.203,173.253
24072,1003,807,10,\N,\N,1:46.093,171.800
24073,1003,828,11,\N,\N,1:45.169,173.309
24074,1003,838,12,\N,\N,1:45.555,172.675
24075,1003,842,13,\N,\N,1:46.063,171.848
24076,1003,840,14,\N,\N,1:46.033,171.897
24077,1003,154,15,\N,\N,1:45.904,172.106
24078,1003,815,16,\N,\N,1:45.389,172.947
24079,1003,843,17,\N,\N,1:44.889,173.772
24080,1003,825,18,\N,\N,1:41.905,178.860
24081,1003,845,19,\N,\N,1:45.902,172.110
24082,1003,839,\N,\N,\N,\N,\N
24083,1004,1,1,1:27:25.181,5245181,1:35.916,219.492
24084,1004,822,2,+2.545,5247726,1:35.861,219.617
24085,1004,20,3,+7.487,5252668,1:35.990,219.322
24086,1004,8,4,+16.543,5261724,1:36.611,217.913
24087,1004,830,5,+31.016,5276197,1:36.283,218.655
24088,1004,817,6,+1:20.451,5325632,1:36.345,218.514
