Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec
17,19,860.0,1.0,0.0,0.0,33.808
18,14,865.0,1.0,0.0,0.0,38.572
NC,13,863.0,0.0,1.0,,
NC,18,839.0,0.0,1.0,,
1,1,846.0,1.0,0.0,0.0,0.0
2,2,844.0,1.0,0.0,0.0,3.131
3,3,857.0,1.0,0.0,0.0,3.658
4,4,830.0,1.0,0.0,0.0,20.572
5,7,1.0,1.0,0.0,0.0,51.387
6,5,864.0,1.0,0.0,1.0,
7,8,839.0,1.0,0.0,1.0,
8,9,859.0,1.0,0.0,1.0,
9,10,848.0,1.0,0.0,2.0,
10,11,832.0,1.0,0.0,2.0,
11,14,847.0,1.0,0.0,2.0,
12,20,860.0,1.0,0.0,2.0,
13,18,861.0,1.0,0.0,2.0,
14,16,865.0,1.0,0.0,2.0,
15,19,840.0,1.0,0.0,2.0,
16,13,807.0,1.0,0.0,2.0,
17,12,852.0,1.0,0.0,2.0,
18,15,863.0,1.0,0.0,3.0,
NC,6,4.0,0.0,1.0,,
NC,17,842.0,0.0,1.0,,
1,1,857.0,1.0,0.0,0.0,0.0
2,2,846.0,1.0,0.0,0.0,2.471
3,7,844.0,1.0,0.0,0.0,10.455
4,4,847.0,1.0,0.0,0.0,11.359
5,15,807.0,1.0,0.0,0.0,13.648
6,5,1.0,1.0,0.0,0.0,15.508
7,9,864.0,1.0,0.0,0.0,16.022
8,8,842.0,1.0,0.0,0.0,17.882
9,10,4.0,1.0,0.0,0.0,21.564
10,3,830.0,1.0,0.0,0.0,21.826
11,13,859.0,1.0,0.0,0.0,25.532
12,12,865.0,1.0,0.0,0.0,25.996
13,19,852.0,1.0,0.0,0.0,28.822
14,17,832.0,1.0,0.0,0.0,29.309
15,18,861.0,1.0,0.0,0.0,31.381
16,16,839.0,1.0,0.0,0.0,32.197
17,14,860.0,1.0,0.0,0.0,37.065
NC,6,863.0,0.0,1.0,,
NC,11,848.0,0.0,1.0,,
1,1,847.0,1.0,0.0,0.0,0.0
2,2,830.0,1.0,0.0,0.0,0.228
3,4,863.0,1.0,0.0,0.0,1.014
4,3,857.0,1.0,0.0,0.0,2.109
5,8,844.0,1.0,0.0,0.0,3.442
6,5,1.0,1.0,0.0,0.0,10.713
7,6,4.0,1.0,0.0,0.0,10.972
8,11,807.0,1.0,0.0,0.0,15.364
9,14,839.0,1.0,0.0,1.0,
10,16,832.0,1.0,0.0,1.0,
11,13,860.0,1.0,0.0,1.0,
12,18,852.0,1.0,0.0,1.0,
13,10,861.0,1.0,0.0,1.0,
14,15,865.0,1.0,0.0,1.0,
15,20,842.0,1.0,0.0,1.0,
16,12,864.0,1.0,0.0,1.0,
17,17,840.0,1.0,0.0,1.0,
18,7,846.0,0.0,1.0,,
NC,19,859.0,0.0,1.0,,
NC,9,848.0,0.0,1.0,,
1,1,846.0,1.0,0.0,0.0,0.0
2,3,857.0,1.0,0.0,0.0,2.695
3,2,844.0,1.0,0.0,0.0,19.82
4,4,1.0,1.0,0.0,0.0,29.02
5,5,847.0,1.0,0.0,0.0,62.396
6,6,859.0,1.0,0.0,0.0,67.754
7,11,4.0,1.0,0.0,1.0,
8,8,865.0,1.0,0.0,1.0,
9,20,807.0,1.0,0.0,1.0,
10,17,839.0,1.0,0.0,1.0,
11,15,860.0,1.0,0.0,1.0,
12,13,864.0,1.0,0.0,1.0,
13,10,842.0,1.0,0.0,1.0,
14,16,840.0,1.0,0.0,1.0,
15,14,861.0,1.0,0.0,1.0,
16,18,852.0,1.0,0.0,2.0,
NC,12,848.0,0.0,1.0,,
NC,7,830.0,0.0,1.0,,
NC,9,863.0,0.0,1.0,,
NC,19,832.0,0.0,1.0,,
1,3,846.0,1.0,0.0,0.0,0.0
2,2,857.0,1.0,0.0,0.0,6.812
3,19,807.0,1.0,0.0,0.0,34.742
4,5,1.0,1.0,0.0,0.0,39.812
5,1,830.0,1.0,0.0,0.0,56.781
6,8,842.0,1.0,0.0,0.0,59.857
7,17,840.0,1.0,0.0,0.0,60.603
8,13,848.0,1.0,0.0,0.0,64.135
9,7,4.0,1.0,0.0,0.0,65.868
10,4,847.0,1.0,0.0,0.0,70.674
11,18,860.0,1.0,0.0,0.0,72.095
12,9,832.0,1.0,0.0,0.0,76.592
13,14,839.0,1.0,0.0,0.0,77.301
14,6,844.0,1.0,0.0,0.0,84.477
15,11,852.0,1.0,0.0,1.0,
NC,10,863.0,0.0,1.0,,
NC,12,864.0,0.0,1.0,,
NC,16,865.0,0.0,1.0,,
NC,15,859.0,0.0,1.0,,
NC,20,861.0,0.0,1.0,,
1,2,857.0,1.0,0.0,0.0,0.0
2,1,846.0,1.0,0.0,0.0,3.415
3,3,844.0,1.0,0.0,0.0,20.185
4,4,830.0,1.0,0.0,0.0,21.731
5,6,847.0,1.0,0.0,0.0,34.863
6,5,848.0,1.0,0.0,0.0,39.926
7,18,1.0,1.0,0.0,0.0,40.679
8,9,859.0,1.0,0.0,0.0,52.033
9,10,865.0,1.0,0.0,0.0,56.434
10,13,842.0,1.0,0.0,0.0,72.714
11,12,860.0,1.0,0.0,0.0,73.145
12,14,807.0,1.0,0.0,0.0,73.628
13,7,852.0,1.0,0.0,0.0,75.395
14,16,840.0,1.0,0.0,0.0,79.831
15,11,839.0,1.0,0.0,0.0,86.063
16,19,863.0,1.0,0.0,0.0,86.721
17,20,4.0,1.0,0.0,0.0,87.924
18,17,832.0,1.0,0.0,0.0,92.024
19,15,861.0,1.0,0.0,0.0,95.25
20,8,864.0,1.0,0.0,1.0,
1,3,846.0,1.0,0.0,0.0,0.0
2,2,857.0,1.0,0.0,0.0,0.698
3,4,847.0,1.0,0.0,0.0,21.916
4,1,844.0,1.0,0.0,0.0,42.56
5,5,4.0,1.0,0.0,0.0,59.04
6,7,865.0,1.0,0.0,0.0,66.169
7,6,840.0,1.0,0.0,0.0,68.174
8,9,859.0,1.0,0.0,0.0,69.451
9,8,830.0,1.0,0.0,0.0,72.645
10,15,863.0,1.0,0.0,1.0,
11,10,864.0,1.0,0.0,1.0,
12,12,1.0,1.0,0.0,1.0,
13,18,807.0,1.0,0.0,1.0,
14,13,832.0,1.0,0.0,1.0,
15,19,848.0,1.0,0.0,1.0,
16,17,839.0,1.0,0.0,1.0,
17,20,852.0,1.0,0.0,1.0,
18,14,861.0,1.0,0.0,1.0,
19,16,842.0,1.0,0.0,1.0,
NC,11,860.0,0.0,1.0,,
1,1,857.0,1.0,0.0,0.0,0.0
2,3,830.0,1.0,0.0,0.0,1.271
